qac_root_join_key	qac_root_ar	qac_root_norm	qac_root_canonical	occurrences	surah_count	surahs	example_refs	example_surfaces	example_lemmas	status	audit_class	chosen_method	chosen_root_ids	source_exact_root_ids	normalized_exact_root_ids	canonical_root_ids	legacy_root_norm_extra_root_ids	legacy_root_norm_extra_branch_count	chosen_branch_count	notes
غني	غ ن ي	غ ن ي	غني	73	44	2;3;4;6;7;8;9;10;11;12;14;15;19;22;24;26;27;29;31;35;36;39;40;44;45;46;47;52;53;54;57;58;59;60;64;66;69;77;80;88;92;93;96;111	2:263:10;2:267:28;2:273:14;3:10:5;3:97:23;3:116:5;3:181:11;4:6:22	غَنِىٌّ;أَغْنِيَآءَ;تُغْنِىَ;أَغْنِيَآءُ;غَنِيًّا	غَنِىّ;أَغْنَتْ	ok_source_exact	ok	source_exact	root_001110	root_001110	root_001110	root_001110		0	6	
فرق	ف ر ق	ف ر ق	فرق	72	30	2;3;4;5;6;7;8;9;11;12;16;17;18;19;20;21;23;24;25;26;27;30;33;34;42;44;65;75;77;98	2:50:2;2:53:5;2:75:7;2:85:7;2:87:25;2:87:27;2:100:5;2:101:11	فَرَقْ;فُرْقَانَ;فَرِيقٌ;فَرِيقًا	فَرَقْ;فُرْقَان;فَرِيق	ok_source_exact	ok	source_exact	root_001148	root_001148	root_001148	root_001148		0	15	
يمن	ي م ن	ي م ن	يمن	71	34	2;3;4;5;6;7;9;16;17;18;19;20;23;24;28;29;30;33;34;35;37;39;50;56;57;58;63;66;68;69;70;74;84;90	2:224:5;2:225:6;3:77:6;4:3:24;4:24:7;4:25:13;4:33:10;4:36:24	أَيْمَٰنِ;أَيْمَٰنُ	يَمِين	ok_source_exact	ok	source_exact	root_001698	root_001698	root_001698	root_001698		0	6	
عرف	ع ر ف	ع ر ف	عرف	70	26	2;3;4;5;6;7;9;10;12;16;22;23;24;27;31;33;40;47;49;55;60;65;66;67;77;83	2:89:20;2:146:4;2:146:6;2:178:22;2:180:13;2:228:34;2:229:4;2:231:7	عَرَفُ;يَعْرِفُ;مَعْرُوفِ;مَعْرُوفٍ	عَرَفَ;مَّعْرُوف	ok_source_exact	ok	source_exact	root_001002	root_001002	root_001002	root_001002		0	14	
علو	ع ل و	ع ل و	علو	70	41	2;3;4;5;6;7;9;10;11;13;15;16;17;19;20;22;23;27;28;30;31;33;34;37;38;39;40;42;43;44;47;53;63;69;72;76;79;83;87;88;92	2:255:49;3:61:11;3:64:4;3:139:6;3:167:6;4:34:39;4:61:4;5:104:4	عَلِىُّ;تَعَالَ;أَعْلَوْنَ;عَلِيًّا	عَلِيّ;تَعَالَ;أَعْلَوْن	ok_source_exact	ok	source_exact	root_001042	root_001042	root_001042	root_001042		0	11	
متع	م ت ع	م ت ع	متع	70	38	2;3;4;5;6;7;9;10;11;12;13;14;15;16;20;21;24;25;26;28;29;30;31;33;36;37;39;40;42;43;46;47;51;56;57;77;79;80	2:36:17;2:126:22;2:196:37;2:236:14;2:236:21;2:240:8;2:241:2;3:14:18	مَتَٰعٌ;أُمَتِّعُ;تَمَتَّعَ;مَتِّعُ;مَتَٰعًۢا;مَّتَٰعًا;مَتَٰعٌۢ;مَتَٰعُ	مَتَٰع;مَّتَّعْ;تَمَتَّعَ	ok_source_exact	ok	source_exact	root_001395	root_001395	root_001395	root_001395		0	6	
وكل	و ك ل	و ك ل	وكل	70	29	3;4;5;6;7;8;9;10;11;12;13;14;16;17;25;26;27;28;29;32;33;39;42;58;60;64;65;67;73	3:122:11;3:159:24;3:159:30;3:160:17;3:173:17;4:81:19;4:81:24;4:109:18	يَتَوَكَّلِ;تَوَكَّلْ;مُتَوَكِّلِينَ;وَكِيلُ;وَكِيلًا	تَوَكَّلْ;مُتَوَكِّلُون;وَكِيل	ok_source_exact	ok	source_exact	root_001681	root_001681	root_001681	root_001681		0	6	
سكن	س ك ن	س ك ن	سكن	69	40	2;3;4;5;6;7;8;9;10;12;14;16;17;18;20;21;23;24;25;27;28;29;30;32;34;40;42;46;48;58;59;61;65;68;69;74;76;89;90;107	2:35:3;2:61:40;2:83:15;2:177:26;2:184:19;2:215:12;2:248:11;3:112:20	ٱسْكُنْ;مَسْكَنَةُ;مَسَٰكِينِ;مَسَٰكِينَ;مِسْكِينٍ;سَكِينَةٌ	سَكَنَ;مَسْكَنَة;مِسْكِين;سَكِينَة	ok_source_exact	ok	source_exact	root_000726	root_000726	root_000726	root_000726		0	9	
ظنن	ظ ن ن	ظ ن ن	ظنن	69	32	2;3;4;6;7;9;10;11;12;17;18;21;22;24;26;28;33;34;37;38;40;41;45;48;49;53;59;69;72;75;83;84	2:46:2;2:78:11;2:230:20;2:249:45;3:154:16;3:154:20;4:157:31;6:116:14	يَظُنُّ;ظَنَّ;ظَّنِّ;ظَّنَّ	ظَنَّ;ظَنّ	ok_source_exact	ok	source_exact	root_000969	root_000969	root_000969	root_000969		0	9	
هلك	ه ل ك	ه ل ك	هلك	68	40	2;3;4;5;6;7;8;9;10;11;12;14;15;17;18;19;20;21;22;23;26;27;28;29;32;36;38;40;43;44;45;46;47;50;53;54;67;69;77;90	2:195:9;2:205:8;3:117:17;4:176:9;5:17:20;6:6:4;6:6:25;6:26:7	تَّهْلُكَةِ;يُهْلِكَ;أَهْلَكَتْ;هَلَكَ;أَهْلَكْ;يُهْلِكُ	تَّهْلُكَة;أَهْلَكَ;هَلَكَ	ok_source_exact	ok	source_exact	root_001596	root_001596	root_001596	root_001596		0	12	
وحد	و ح د	و ح د	وحد	68	35	2;4;5;6;7;9;10;11;12;13;14;16;17;18;21;22;23;24;25;29;31;34;36;37;38;39;40;41;42;43;54;60;69;74;79	2:61:8;2:133:24;2:163:3;2:213:4;4:1:9;4:3:20;4:11:20;4:11:25	وَٰحِدٍ;وَٰحِدًا;وَٰحِدٌ;وَٰحِدَةً;وَٰحِدَةٍ	وَٰحِد;وَٰحِدَة	ok_source_exact	ok	source_exact	root_001631	root_001631	root_001631	root_001631		0	6	
بعث	ب ع ث	ب ع ث	بعث	67	33	2;3;4;5;6;7;9;10;11;15;16;17;18;19;22;23;25;26;27;28;30;31;36;37;38;40;56;58;62;64;72;83;91	2:56:2;2:129:2;2:213:5;2:246:15;2:247:7;2:259:22;3:164:7;4:35:5	بَعَثْ;ٱبْعَثْ;بَعَثَ;ٱبْعَثُ	بَعَثَ	ok_source_exact	ok	source_exact	root_000129	root_000129	root_000129	root_000129		0	3	
كسب	ك س ب	ك س ب	كسب	67	27	2;3;4;5;6;7;9;10;13;14;15;18;24;30;31;33;35;36;39;40;41;42;45;52;74;83;111	2:79:24;2:81:3;2:134:7;2:134:10;2:141:7;2:141:10;2:202:5;2:225:10	يَكْسِبُ;كَسَبَ;كَسَبَتْ;كَسَبْ;كَسَبُ	كَسَبَ	ok_source_exact	ok	source_exact	root_001296	root_001296	root_001296	root_001296		0	4	
جرم	ج ر م	ج ر م	جرم	66	36	5;6;7;8;9;10;11;12;14;15;16;18;19;20;25;26;27;28;30;32;34;36;37;40;43;44;45;46;51;54;55;68;70;74;77;83	5:2:28;5:8:10;6:55:6;6:123:7;6:124:21;6:147:13;7:40:23;7:84:8	يَجْرِمَ;مُجْرِمِينَ;مُجْرِمِي;أَجْرَمُ	يَجْرِمَ;مُجْرِم;أَجْرَمُ	ok_source_exact	ok	source_exact	root_000239	root_000239	root_000239	root_000239		0	10	
وفي	و ف ي	و ف ي	وفي	66	27	2;3;4;5;6;7;8;9;10;11;12;13;16;17;22;24;26;32;35;39;40;46;47;48;53;76;83	2:40:8;2:40:10;2:177:36;2:234:2;2:240:2;2:272:24;2:281:8;3:25:8	أَوْفُ;أُوفِ;مُوفُونَ;يُتَوَفَّ;يُوَفَّ;تُوَفَّىٰ;وُفِّيَتْ	أَوْفَىٰ;مُوفُون;تَوَفَّىٰ;وَفَّىٰٓ	ok_source_exact	ok	source_exact	root_001669	root_001669	root_001669	root_001669		0	5	
خسر	خ س ر	خ س ر	خسر	65	35	2;3;4;5;6;7;8;9;10;11;12;16;17;18;21;22;23;26;27;29;35;39;40;41;42;45;46;55;58;63;65;71;79;83;103	2:27:20;2:64:13;2:121:15;3:85:13;3:149:12;4:119:19;4:119:20;5:5:43	خَٰسِرُونَ;خَٰسِرِينَ;خَسِرَ;خُسْرَانًا	خَٰسِرِين;خَسِرَ;خُسْرَان	ok_source_exact	ok	source_exact	root_000409	root_000409	root_000409	root_000409		0	4	
عين	ع ي ن	ع ي ن	عين	65	37	2;3;5;7;8;9;11;12;15;18;19;20;21;23;25;26;28;32;33;34;36;37;40;43;44;51;52;54;55;56;67;76;77;83;88;90;102	2:60:13;3:13:18;5:45:7;5:45:8;5:83:8;7:116:6;7:160:20;7:179:14	عَيْنًا;عَيْنِ;عَيْنَ;أَعْيُنَ;أَعْيُنٌ	عَيْن	ok_source_exact	ok	source_exact	root_001069	root_001069	root_001069	root_001069		0	17	
جري	ج ر ي	ج ر ي	جري	64	43	2;3;4;5;6;7;9;10;11;13;14;16;18;20;21;22;25;29;30;31;35;36;38;39;42;43;45;47;48;51;54;55;57;58;61;64;65;66;69;81;85;88;98	2:25:9;2:164:11;2:266:10;3:15:11;3:136:7;3:195:32;3:198:7;4:13:10	تَجْرِى	جَرَيْ	ok_source_exact	ok	source_exact	root_000240	root_000240	root_000240	root_000240		0	6	
حمل	ح م ل	ح م ل	حمل	64	29	2;4;6;7;9;11;12;13;16;17;19;20;22;23;24;29;31;33;35;36;40;41;46;51;54;62;65;69;111	2:248:21;2:286:22;2:286:26;2:286:33;4:112:11;6:31:19;6:142:3;6:146:16	تَحْمِلُ;تَحْمِلْ;حَمَلْ;تُحَمِّلْ;ٱحْتَمَلَ;يَحْمِلُ;حَمُولَةً;حَمَلَتْ	حَمَلَ;حُمِّلَ;ٱحْتَمَلَ;حَمُولَة	ok_source_exact	ok	source_exact	root_000357	root_000357	root_000357	root_000357		0	9	
تلو	ت ل و	ت ل و	تلو	63	33	2;3;4;5;6;7;8;10;11;13;17;18;19;22;23;26;27;28;29;31;33;34;35;37;39;45;46;62;65;68;83;91;98	2:44:7;2:102:3;2:113:14;2:121:4;2:121:6;2:129:6;2:151:6;2:252:4	تَتْلُ;تَتْلُوا۟;يَتْلُ;تِلَاوَتِ;يَتْلُوا۟;نَتْلُو	تَلَىٰ;تِلَاوَت	ok_source_exact	ok	source_exact	root_000186	root_000186	root_000186	root_000186		0	8	
حمد	ح م د	ح م د	حمد	63	40	1;2;3;4;6;7;9;10;11;13;14;15;16;17;18;20;22;23;25;27;28;29;30;31;32;34;35;37;39;40;41;42;45;50;52;57;60;64;85;110	1:2:1;2:30:20;2:267:29;3:188:9;4:131:32;6:1:1;6:45:6;7:43:12	حَمْدُ;حَمْدِ;حَمِيدٌ;يُحْمَدُ;حَمِيدًا	حَمْد;حَمِيد;يُحْمَدُ	ok_source_exact	ok	source_exact	root_000355	root_000355	root_000355	root_000355		0	5	
ذوق	ذ و ق	ذ و ق	ذوق	63	32	3;4;5;6;7;8;9;10;11;16;17;21;22;25;29;30;32;34;35;37;38;39;41;42;44;46;51;54;59;64;65;78	3:106:13;3:181:20;3:185:3;4:56:14;5:95:35;6:30:15;6:65:18;6:148:21	ذُوقُ;ذَآئِقَةُ;يَذُوقُ;يَذُوقَ;يُذِيقَ;ذَاقُ	ذَاقُ;ذَآئِقَة;أَذَاقَ	ok_source_exact	ok	source_exact	root_000526	root_000526	root_000526	root_000526		0	4	
سحر	س ح ر	س ح ر	سحر	63	27	2;3;5;6;7;10;11;15;17;20;21;23;25;26;27;28;34;37;38;40;43;46;51;52;54;61;74	2:102:16;3:17:6;5:110:62;6:7:15;7:109:8;7:112:3;7:113:2;7:116:5	سِّحْرَ;أَسْحَارِ;سِحْرٌ;سَٰحِرٌ;سَٰحِرٍ;سَّحَرَةُ;سَحَرُ	سِحْر;سَحَر;سَٰحِر;سَحَرُ	ok_source_exact	ok	source_exact	root_000682	root_000682	root_000682	root_000682		0	8	
عود	ع و د	ع و د	عود	63	39	2;5;6;7;8;9;10;11;14;17;18;20;21;22;23;24;25;26;27;28;29;30;32;34;36;38;40;41;44;46;50;51;53;54;58;69;71;85;89	2:275:39;5:95:43;5:114:14;6:28:11;7:29:16;7:65:2;7:74:7;7:88:15	عَادَ;عِيدًا;عَادُ;تَعُودُ;عَادٍ	عَادَ;عِيد;عَاد2	ok_source_exact	ok	source_exact	root_001058	root_001058	root_001058	root_001058		0	11	
قضي	ق ض ي	ق ض ي	قضي	63	29	2;3;4;6;8;10;11;12;14;15;17;19;20;22;27;28;33;34;35;39;40;41;42;43;45;46;62;69;80	2:117:5;2:200:2;2:210:12;3:47:17;4:65:17;4:103:2;6:2:7;6:8:9	قَضَىٰٓ;قَضَيْ;قُضِىَ	قَضَىٰٓ	ok_source_exact	ok	source_exact	root_001237	root_001237	root_001237	root_001237		0	8	
موه	م و ه	م و ه	موه	63	41	2;4;5;6;7;8;10;11;13;14;15;16;18;20;21;22;23;24;25;27;28;29;30;31;32;35;39;41;43;47;50;54;56;67;69;72;77;78;79;80;86	2:22:11;2:74:25;2:164:23;4:43:37;5:6:39;6:99:6;7:50:10;7:57:19	مَآءً;مَآءُ;مَّآءٍ;مَآءِ;مَآءَ	مَآء	ok_source_exact	ok	source_exact	root_001458	root_001458	root_001458	root_001458		0	8	
زيد	ز ي د	ز ي د	زيد	61	32	2;3;4;5;7;8;9;10;11;12;13;14;16;17;18;19;20;24;25;33;35;37;38;42;47;48;50;71;72;73;74;78	2:10:4;2:58:19;2:247:31;3:90:7;3:173:11;3:178:13;4:137:11;4:173:8	زَادَ;نَزِيدُ;ٱزْدَادُ;يَزْدَادُ;يَزِيدُ	زَادَ;ٱزْدَادُ	ok_source_exact	ok	source_exact	root_000657	root_000657	root_000657	root_000657		0	5	
مسس	م س س	م س س	مسس	61	29	2;3;5;6;7;8;10;11;12;15;16;17;19;20;21;24;26;30;33;35;36;38;39;41;50;54;56;58;70	2:80:3;2:214:13;2:236:9;2:237:6;2:275:13;3:24:5;3:47:8;3:120:2	تَمَسَّ;مَّسَّتْ;تَمَسُّ;مَسِّ;يَمْسَسْ;تَمْسَسْ	مَسَّ;مَسّ	ok_source_exact	ok	source_exact	root_001423	root_001423	root_001423	root_001423		0	7	
غيب	غ ي ب	غ ي ب	غيب	60	35	2;3;4;5;6;7;9;10;11;12;13;16;18;19;21;23;27;32;34;35;36;39;49;50;52;53;57;59;62;64;67;68;72;81;82	2:3:3;2:33:14;3:44:4;3:179:20;4:34:18;5:94:16;5:109:15;5:116:44	غَيْبِ;غَيْبَ;غُيُوبِ	غَيْب;غُيُوب	ok_source_exact	ok	source_exact	root_001117	root_001117	root_001117	root_001117		0	8	
فتن	ف ت ن	ف ت ن	فتن	60	32	2;3;4;5;6;7;8;9;10;16;17;20;21;22;24;25;27;29;33;37;38;39;44;51;54;57;60;64;68;72;74;85	2:102:32;2:191:8;2:193:5;2:217:25;3:7:24;4:91:12;4:101:15;5:41:44	فِتْنَةٌ;فِتْنَةُ;فِتْنَةِ;يَفْتِنَ;فِتْنَتَ	فِتْنَة;فَتَنُ	ok_source_exact	ok	source_exact	root_001128	root_001128	root_001128	root_001128		0	7	
فري	ف ر ي	ف ر ي	فري	60	24	3;4;5;6;7;10;11;12;16;17;18;19;20;21;23;25;28;29;32;34;42;46;60;61	3:24:15;3:94:2;4:48:18;4:50:3;5:103:15;6:21:4;6:24:10;6:93:4	يَفْتَرُ;ٱفْتَرَىٰ;ٱفْتَرَىٰٓ	ٱفْتَرَىٰ	ok_source_exact	ok	source_exact	root_001150	root_001150	root_001150	root_001150		0	9	
ردد	ر د د	ر د د	ردد	59	30	2;3;4;5;6;7;9;10;11;12;13;14;16;17;18;19;21;22;27;28;30;33;38;40;41;42;47;62;79;95	2:85:41;2:109:7;2:217:33;2:217:39;2:228:24;3:100:11;3:149:8;4:47:16	يُرَدُّ;يَرُدُّ;يَرْتَدِدْ;رَدِّ;نَرُدَّ	رَدَّ;ٱرْتَدَّ;رَدّ	ok_source_exact	ok	source_exact	root_000555	root_000555	root_000555	root_000555		0	10	
زكو	ز ك و	ز ك و	زكو	59	29	2;3;4;5;7;9;18;19;20;21;22;23;24;27;30;31;33;35;41;53;58;62;73;79;80;87;91;92;98	2:43:4;2:83:22;2:110:4;2:129:12;2:151:9;2:174:26;2:177:35;2:232:26	زَّكَوٰةَ;يُزَكِّي;أَزْكَىٰ	زَكَوٰة;زَكَّىٰ;أَزْكَىٰ	ok_source_exact	ok	source_exact	root_000637	root_000637	root_000637	root_000637		0	4	
ظهر	ظ ه ر	ظ ه ر	ظهر	59	30	2;3;6;7;9;11;13;17;18;21;24;25;28;30;31;33;34;35;40;42;43;48;57;58;60;61;66;72;84;94	2:85:11;2:101:19;2:189:15;3:187:14;6:31:22;6:94:12;6:120:2;6:138:14	تَظَٰهَرُ;ظُهُورِ;ظَٰهِرَ;ظُهُورُ	تَظَٰهَرُ;ظَهْر;ظَٰهِر	ok_source_exact	ok	source_exact	root_000970	root_000970	root_000970	root_000970		0	24	
نسو	ن س و	ن س و	نسو	59	16	2;3;4;5;7;12;14;24;27;28;33;40;48;49;58;65	2:49:12;2:187:7;2:222:8;2:223:1;2:226:4;2:231:3;2:232:3;2:235:9	نِسَآءَ;نِسَآئِ;نِّسَآءَ;نِسَآؤُ;نِّسَآئِ;نِّسَآءِ	نِسَآء	ok_source_exact	ok	source_exact	root_001500	root_001500	root_001500	root_001500		0	1	
ضرب	ض ر ب	ض ر ب	ضرب	58	28	2;3;4;5;7;8;13;14;16;17;18;20;22;24;25;26;29;30;36;37;38;39;43;47;57;59;66;73	2:26:6;2:60:6;2:61:37;2:73:2;2:273:9;3:112:1;3:112:18;3:156:11	يَضْرِبَ;ٱضْرِب;ضُرِبَتْ;ٱضْرِبُ;ضَرْبًا;ضَرَبُ	ضَرَبَ;ضَرْب	ok_source_exact	ok	source_exact	root_000906	root_000906	root_000906	root_000906		0	16	
روح	ر و ح	ر و ح	روح	57	40	2;3;4;5;7;8;10;12;14;15;16;17;18;19;21;22;25;26;27;30;32;33;34;35;38;40;41;42;45;46;51;54;55;56;58;66;69;70;78;97	2:87:15;2:164:35;2:253:20;3:117:9;4:171:24;5:110:14;7:57:4;8:46:8	رُوحِ;رِّيَٰحِ;رِيحٍ;رُوحٌ;رِّيَٰحَ;رِيحُ	رُوح;رِيح	ok_source_exact	ok	source_exact	root_000609	root_000609	root_000609	root_000609		0	16	
عدد	ع د د	ع د د	عدد	57	26	2;3;4;8;9;10;11;12;14;16;17;18;19;22;23;32;33;38;48;57;58;65;72;74;76;104	2:24:12;2:80:7;2:184:2;2:184:10;2:185:24;2:185:37;2:203:5;3:24:9	أُعِدَّتْ;مَّعْدُودَةً;مَّعْدُودَٰتٍ;عِدَّةٌ;عِدَّةَ	أَعَدَّ;مَّعْدُودَة;عِدَّة	ok_source_exact	ok	source_exact	root_000989	root_000989	root_000989	root_000989		0	6	
قري	ق ر ي	ق ر ي	قري	57	26	2;4;6;7;10;11;12;15;16;17;18;21;22;25;26;27;28;29;34;36;42;43;46;47;59;65	2:58:5;2:259:5;4:75:19;6:92:11;6:123:5;6:131:7;7:4:3;7:82:10	قَرْيَةَ;قَرْيَةٍ;قَرْيَةِ;قُرَىٰ;قَرْيَتِ	قَرْيَة	ok_source_exact	ok	source_exact	root_001222	root_001222	root_001222	root_001222		0	10	
ءجل	ء ج ل	ء ج ل	اجل	56	29	2;3;4;5;6;7;10;11;13;14;15;16;17;20;22;23;28;29;30;31;35;39;40;42;46;63;65;71;77	2:231:5;2:232:5;2:234:13;2:235:34;2:282:8;2:282:86;3:145:10;4:77:36	أَجَلَ;أَجَلٍ;أَجَلِ;مُّؤَجَّلًا	أَجَل;مُّؤَجَّل	ok_normalized_unique	ok	normalized_exact	root_000016		root_000016	root_000016		0	8	no source_root_norm exact match
ذهب	ذ ه ب	ذ ه ب	ذهب	56	30	2;3;4;5;6;8;9;11;12;13;14;17;18;20;21;22;23;24;25;26;27;33;35;37;43;46;60;75;79;81	2:17:10;2:20:17;3:14:11;3:91:13;4:19:13;4:133:3;5:24:10;6:133:7	ذَهَبَ;ذَّهَبِ;ذَهَبًا;تَذْهَبُ;يُذْهِبْ;ٱذْهَبْ	ذَهَبَ;ذَهَب;أَذْهَبَ	ok_source_exact	ok	source_exact	root_000522	root_000522	root_000522	root_000522		0	8	
نهي	ن ه ي	ن ه ي	نهي	56	26	2;3;4;5;6;7;8;9;11;15;16;19;20;22;26;29;31;33;36;40;53;58;59;60;79;96	2:192:2;2:193:10;2:275:31;3:104:9;3:110:8;3:114:7;4:31:5;4:161:4	ٱنتَهَ;ٱنتَهَىٰ;يَنْهَ;تَنْهَ;تُنْهَ;نُهُ	ٱنتَهَىٰ;نَهَىٰ	ok_source_exact	ok	source_exact	root_001560	root_001560	root_001560	root_001560		0	8	
دور	د و ر	د و ر	دور	55	27	2;3;4;5;6;7;8;9;10;11;12;13;14;16;17;22;28;29;33;35;38;40;41;48;59;60;71	2:84:11;2:85:10;2:94:5;2:243:7;2:246:42;2:282:101;3:195:21;4:66:11	دِيَٰرِ;دَّارُ;تُدِيرُ	دَار;تُدِيرُ	ok_source_exact	ok	source_exact	root_000499	root_000499	root_000499	root_000499		0	7	
فسق	ف س ق	ف س ق	فسق	54	23	2;3;5;6;7;9;10;17;18;21;24;27;28;29;32;43;46;49;51;57;59;61;63	2:26:39;2:59:18;2:99:10;2:197:11;2:282:119;3:82:7;3:110:23;5:3:30	فَٰسِقِينَ;يَفْسُقُ;فَٰسِقُونَ;فُسُوقَ;فُسُوقٌۢ;فِسْقٌ	فَاسِق;فَسَقَ;فُسُوق;فِسْق	ok_source_exact	ok	source_exact	root_001156	root_001156	root_001156	root_001156		0	1	
ندو	ن د و	ن د و	ندو	53	26	2;3;5;7;11;18;19;20;21;26;27;28;29;37;38;40;41;43;49;50;54;57;62;68;79;96	2:171:12;3:39:1;3:193:4;3:193:5;5:58:2;7:22:15;7:43:29;7:44:1	نِدَآءً;نَادَتْ;مُنَادِيًا;يُنَادِى;نَادَيْ;نَادَىٰ;نُودُ;نَادَىٰٓ	نِدَآء;نَادَىٰ;مُنَادِي	ok_source_exact	ok	source_exact	root_001486	root_001486	root_001486	root_001486		0	8	
خبر	خ ب ر	خ ب ر	خبر	52	31	2;3;4;5;6;9;11;17;18;22;24;25;27;28;31;33;34;35;42;47;48;49;57;58;59;63;64;66;67;99;100	2:234:25;2:271:20;3:153:23;3:180:30;4:35:22;4:94:39;4:128:29;4:135:37	خَبِيرٌ;خَبِيرٌۢ;خَبِيرًا	خَبِير	ok_source_exact	ok	source_exact	root_000387	root_000387	root_000387	root_000387		0	5	
ضعف	ض ع ف	ض ع ف	ضعف	52	21	2;3;4;7;8;9;11;14;17;19;22;25;28;30;33;34;38;40;57;64;72	2:245:8;2:245:10;2:261:19;2:265:18;2:266:23;2:282:42;3:130:7;3:130:8	يُضَٰعِفَ;أَضْعَافًا;يُضَٰعِفُ;ضِعْفَيْنِ;ضُعَفَآءُ;ضَعِيفًا;أَضْعَٰفًا;مُّضَٰعَفَةً	يُضَٰعِفُ;ضِعْف;ضَعِيف;مُّضَٰعَفَة	ok_source_exact	ok	source_exact	root_000909	root_000909	root_000909	root_000909		0	5	
تحت	ت ح ت	ت ح ت	تحت	51	30	2;3;4;5;6;7;9;10;13;14;16;18;19;20;22;25;29;39;41;43;47;48;57;58;61;64;65;66;85;98	2:25:11;2:266:12;3:15:13;3:136:9;3:195:34;3:198:9;4:13:12;4:57:9	تَحْتِ	تَحْت	ok_source_exact	ok	source_exact	root_000177	root_000177	root_000177	root_000177		0	2	
حلل	ح ل ل	ح ل ل	حلل	51	21	2;3;4;5;7;8;9;10;11;13;14;16;20;22;33;35;39;48;60;66;90	2:168:7;2:187:1;2:196:17;2:228:7;2:229:9;2:230:4;2:275:21;3:50:7	حَلَٰلًا;أُحِلَّ;مَحِلَّ;يَحِلُّ;تَحِلُّ;أَحَلَّ	حَلَٰل;أَحَلَّ;مَحِلّ;حَلَلْ	ok_source_exact	ok	source_exact	root_000351	root_000351	root_000351	root_000351		0	15	
طيب	ط ي ب	ط ي ب	طيب	50	23	2;3;4;5;7;8;9;10;13;14;16;17;20;22;23;24;34;35;39;40;45;46;61	2:57:10;2:168:8;2:172:6;2:267:6;3:38:12;3:179:14;4:2:7;4:3:9	طَيِّبَٰتِ;طَيِّبًا;طَيِّبَةً;طَّيِّبِ;طَابَ	طَيِّبَٰت;طَيِّب;طَيِّبَة;طَابَ	ok_source_exact	ok	source_exact	root_000961	root_000961	root_000961	root_000961		0	8	
فسد	ف س د	ف س د	فسد	50	23	2;3;5;7;8;10;11;12;13;16;17;18;21;23;26;27;28;29;30;38;40;47;89	2:11:5;2:12:4;2:27:15;2:30:14;2:60:28;2:205:6;2:205:14;2:220:16	تُفْسِدُ;مُفْسِدُونَ;يُفْسِدُ;مُفْسِدِينَ;يُفْسِدَ;فَسَادَ;مُفْسِدَ	أَفْسَدُ;مُفْسِد;فَسَاد	ok_source_exact	ok	source_exact	root_001154	root_001154	root_001154	root_001154		0	1	
نفع	ن ف ع	ن ف ع	نفع	50	31	2;4;5;6;7;10;11;12;13;16;20;21;22;23;25;26;28;30;32;33;34;36;40;43;48;51;57;60;74;80;87	2:102:56;2:123:14;2:164:15;2:219:9;2:219:14;4:11:63;5:76:12;5:119:5	يَنفَعُ;تَنفَعُ;مَنَٰفِعُ;نَّفْعِ;نَفْعًا	نَفَعَ;مَنَٰفِع;نَفْع	ok_source_exact	ok	source_exact	root_001536	root_001536	root_001536	root_001536		0	3	
سوع	س و ع	س و ع	سوع	49	27	6;7;9;10;12;15;16;18;19;20;21;22;25;30;31;33;34;40;41;42;43;45;46;47;54;71;79	6:31:10;6:40:9;7:34:9;7:187:3;9:117:11;10:45:7;10:49:20;12:107:10	سَّاعَةُ;سَاعَةً;سَّاعَةِ;سَاعَةِ	سَاعَة	ok_source_exact	ok	source_exact	root_000760	root_000760	root_000760	root_000760		0	4	
عقل	ع ق ل	ع ق ل	عقل	49	30	2;3;5;6;7;8;10;11;12;13;16;21;22;23;24;25;26;28;29;30;36;37;39;40;43;45;49;57;59;67	2:44:10;2:73:11;2:75:17;2:76:23;2:164:43;2:170:19;2:171:18;2:242:7	تَعْقِلُ;عَقَلُ;يَعْقِلُ	عَقَلُ	ok_source_exact	ok	source_exact	root_001036	root_001036	root_001036	root_001036		0	13	
ءثم	ء ث م	ء ث م	اثم	48	21	2;3;4;5;6;7;24;25;26;33;42;44;45;49;52;53;56;58;68;76;83	2:85:13;2:173:20;2:181:6;2:182:7;2:182:11;2:188:15;2:203:11;2:203:16	إِثْمِ;إِثْمَ;إِثْمُ;إِثْمًا	إِثْم	ok_normalized_unique	ok	normalized_exact	root_000013		root_000013	root_000013		0	4	no source_root_norm exact match
خشي	خ ش ي	خ ش ي	خشي	48	24	2;3;4;5;9;13;17;18;20;21;23;24;31;33;35;36;39;50;59;67;79;80;87;98	2:74:31;2:150:25;2:150:26;3:173:10;4:9:1;4:25:49;4:77:20;4:77:22	خَشْيَةِ;تَخْشَ;ٱخْشَ;يَخْشَ;خَشِىَ	خَشْيَة;خَشِىَ	ok_source_exact	ok	source_exact	root_000413	root_000413	root_000413	root_000413		0	3	
طعم	ط ع م	ط ع م	طعم	48	26	2;3;5;6;12;18;21;22;25;26;33;36;44;47;51;58;69;73;74;76;80;88;89;90;106;107	2:61:7;2:184:18;2:249:17;2:259:39;3:93:2;5:5:5;5:5:11;5:75:16	طَعَامٍ;طَعَامُ;يَطْعَمْ;طَعَامِ;طَّعَامِ;طَّعَامَ	طَعَام;طَعِمُ	ok_source_exact	ok	source_exact	root_000934	root_000934	root_000934	root_000934		0	13	
