qac_root_norm	frozen_root_norm	furuq_root_id	furuq_root_norm	furuq_source_root_norm	furuq_resolution	occurrences	statuses	root_correction_statuses	qac_match_modes	sample_refs	sample_surfaces	sample_qac_lemmas
ر د د	م ر د	root_001413	م ر د	م ر د	source_root_norm	5	same_word_root_diff:5	unchanged:5	surface_or_stem_match:5	13:11:34|19:76:16|30:43:13|40:43:17|42:44:21	مَرَدَّ|مَرَدَّاً|مَرَدَّنَآ|مَرَدٍّۢ	مَرَدّ
ر ض و	ر ض ي	root_000570	ر ض ي	ر ض ي	source_root_norm	28	same_word_root_diff:28	unchanged:28	surface_or_stem_match:28	2:120:3|2:207:8|2:265:7|4:108:16|4:114:23|5:119:22|6:113:13|9:24:22	تَرْضَىٰ|مَرْضَاتِ|يَرْضَىٰ|رَضُوا|يَرْضَوْهُ|تَرْضَوْنَهَا|رَضُوا۟|تَرْضَوْا۟	رَّضِىَ|مَرْضَات|رَّضِىَ|رَّضِىَ|رَّضِىَ|رَّضِىَ|رَّضِىَ|رَاضِيَة
ر و د	ر د د	root_000555	ر د د	ر د د	source_root_norm	4	same_word_root_diff:4	unchanged:4	surface_or_stem_match:4	3:145:16|3:145:23|5:41:51|5:41:64	يُرِدْ|يُرِدِ	أَرَادَ|أَرَادَ
ز ي د	ز و د	root_000653	ز و د	ز و د	source_root_norm	13	same_word_root_diff:13	unchanged:13	surface_or_stem_match:13	2:10:5|2:247:36|3:173:14|7:69:22|8:2:14|9:47:5|9:124:11|9:124:19	زَادَهُمُ|زَادَهُ|زَادَهُمْ|زَادَكُمْ|زَادَتْهُمْ|زَادُوكُمْ|زَادَتْهُ|زَادُوهُمْ	زَادَ|زَادَ|زَادَ
ز ي ل	ز ل ل	root_000641	ز ل ل	ز ل ل	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	40:34:12	زِلْتُمْ	زَالَت
ز ي ل	ز و ل	root_000655	ز و ل	ز و ل	source_root_norm	5	same_word_root_diff:5	unchanged:5	surface_or_stem_match:5	5:13:23|9:110:2|13:31:36|21:15:3|22:55:3	تَزَالُ|يَزَالُ|زَالَتْ	زَالَت
س ء ل	س ل ل	root_000736	س ل ل	س ل ل	source_root_norm	2	same_word_root_diff:2	disputed:2	surface_or_stem_match:2	2:211:1|68:40:1	سَلْ|سَلْهُمْ	سَأَلَ
س ر ي	س ر ر	root_000697	س ر ر	س ر ر	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	11:81:11	أَسْرِ	أَسْرَىٰ
س ع ي	س و ع	root_000760	س و ع	س و ع	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	22:51:3	سَعَوْا۟	سَعَىٰ
س ق ي	س و ق	root_000762	س و ق	س و ق	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	47:15:48	سُقُوا	سَقَىٰ
س م و	س م م	root_000743	س م م	س م م	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	13:33:17	سَمُّوهُمْ	سَمَّىٰ
س م و	و س م	root_001650	و س م	و س م	source_root_norm	2	same_word_root_diff:2	disputed:2	surface_or_stem_match:2	11:41:6|27:30:7	ٱسْمِ|سْمِ	ٱسْم
س ن ه	س ن ن	root_000750	س ن ن	س ن ن	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	2:259:47	يَتَسَنَّهْ	يَتَسَنَّهْ
س ن و	س ن ن	root_000750	س ن ن	س ن ن	source_root_norm	16	same_word_root_diff:16	unchanged:16	surface_or_stem_match:16	2:96:17|5:26:7|12:42:22|12:47:4|18:11:7|18:25:7|20:40:33|22:47:17	سَنَةٍۢ|سَنَةً|سِنِينَ|سَنَةٍ|سَنَةًۭ	سَنَة|سِنِين
س ه و	س و ه	root_000765	س و ه	س و ه	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	51:11:5|107:5:5	سَاهُونَ	سَاهُون
س و م	و س م	root_001650	و س م	و س م	source_root_norm	6	same_word_root_diff:6	disputed:6	surface_or_stem_match:6	2:273:20|7:46:11|7:48:8|47:30:10|48:29:21|55:41:4	سِيمَٰهُمْ|سِيمَاهُمْ|سِيمَىٰهُمْ	سِيمَٰ
س ي ل	س ء ل	root_000661	س ء ل	س أ ل	root_norm_unique	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	13:17:6	سَالَتْ	سَالَتْ
ش ر ر	ش ر ي	root_000792	ش ر ي	ش ر ي	source_root_norm	11	same_word_root_diff:11	unchanged:11	surface_or_stem_match:11	5:60:4|5:60:26|10:11:7|12:77:23|17:83:14|19:75:26|21:35:8|22:72:24	بِشَرٍّ|شَرٌّ|ٱلشَّرَّ|ٱلشَّرُّ|ٱلشَّرِّ|شَرٍّ|شَرَّاً|شَرُّهُۥ	شَرّ|شَرّ|شَرّ
ش ق ق	ش ق و	root_000808	ش ق و	ش ق و	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	16:7:10|28:27:25	بِشِقِّ|أَشُقَّ	شِقّ|شَقَقْ
ش ق ق	ن ش ق	root_001506	ن ش ق	ن ش ق	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	19:90:6	تَنشَقُّ	ٱنشَقَّ
ش ق و	ش ق ي	root_000809	ش ق ي	ش ق ي	source_root_norm	3	same_word_root_diff:3	unchanged:3	surface_or_stem_match:3	20:2:6|20:117:18|20:123:23	تَشْقَى|تَشْقَىٰ|يَشْقَىٰ	شَقُ
ش م ز	ش م ء ز	root_000815	ش م ء ز	ش م أ ز	root_norm_unique	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	39:45:6	ٱشْمَأَزَّتْ	ٱشْمَأَزَّتْ
ص ب و	ص ب ب	root_000838	ص ب ب	ص ب ب	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	12:33:14	أَصْبُ	أَصْبُ
ص ل و	ص ل ي	root_000880	ص ل ي	ص ل ي	source_root_norm	7	same_word_root_diff:7	disputed:7	surface_or_stem_match:7	3:39:7|9:84:3|9:103:10|33:43:3|33:56:5|33:56:12|108:2:2	يُصَلِّى|تُصَلِّ|صَلِّ|يُصَلُّونَ|صَلُّوا۟	صَلَّىٰ
ص ل ي	ص ل و	root_000879	ص ل و	ص ل و	source_root_norm	3	same_word_root_diff:3	disputed:3	surface_or_stem_match:3	84:12:2|87:12:2|88:4:1	يَصْلَىٰ|يَصْلَى|تَصْلَىٰ	يَصْلَى
ص و ب	ن ص ب	root_001507	ن ص ب	ن ص ب	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	12:56:13	نُصِيبُ	أَصَابَ
ط غ ي	ط غ و	root_000936	ط غ و	ط غ و	source_root_norm	5	same_word_root_diff:5	unchanged:5	surface_or_stem_match:5	37:30:11|51:53:6|52:32:9|68:31:6|89:11:2	طَٰغِينَ|طَاغُونَ|طَغَوْا۟	طَٰغِين|طَغَىٰ
ط م ن	ط م ء ن	root_000948	ط م ء ن	ط م أ ن	root_norm_unique	12	same_word_root_diff:12	unchanged:12	surface_or_stem_match:12	2:260:19|3:126:10|4:103:16|5:113:7|8:10:9|10:7:12|13:28:4|13:28:13	يَطْمَئِنَّ|تَطْمَئِنَّ|ٱطْمَأْنَنتُمْ|اطْمَأَنُّوا|تَطْمَئِنُّ|مُطْمَئِنٌّ|مُّطْمَئِنَّةًۭ|مُطْمَئِنِّينَ	ٱطْمَأَنَّ|ٱطْمَأَنَّ|ٱطْمَأَنَّ|مُطْمَئِنّ|مُّطْمَئِنَّة
ط و ع	س ط ع	root_000706	س ط ع	س ط ع	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	18:82:42	تَسْطِع	ٱسْتَطَاعَ
ع ت د	ع د د	root_000989	ع د د	ع د د	source_root_norm	6	same_word_root_diff:6	unchanged:6	surface_or_stem_match:6	4:18:25|17:10:7|18:29:19|18:102:12|48:13:11|76:4:2	أَعْتَدْنَا	أَعْتَدَتْ
ع د و	ع د د	root_000989	ع د د	ع د د	source_root_norm	5	same_word_root_diff:5	unchanged:5	surface_or_stem_match:5	2:65:6|2:229:49|4:14:8|18:28:16|65:1:37	ٱعْتَدَوْا۟|يَتَعَدَّ|تَعْدُ	ٱعْتَدَىٰ|يَتَعَدَّ|يَعْدُ
ع د و	ع و د	root_001058	ع و د	ع و د	source_root_norm	4	same_word_root_diff:4	unchanged:4	surface_or_stem_match:4	2:173:24|6:145:39|16:115:24|26:166:12	عَادٍ|عَادٍۢ|عَادُونَ	عَاد
ع ر ر	ع ر ي	root_001005	ع ر ي	ع ر ي	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	48:25:29	مَّعَرَّةٌۢ	مَّعَرَّة
ع ز و	ع ز ز	root_001008	ع ز ز	ع ز ز	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	70:37:6	عِزِينَ	عِزِين
ع ص و	ع ص ي	root_001022	ع ص ي	ع ص ي	source_root_norm	12	same_word_root_diff:12	disputed:12	surface_or_stem_match:12	2:60:11|7:107:3|7:117:7|7:160:17|20:18:3|20:66:8|26:32:3|26:44:5	عَصَاكَ|عَصَاهُ|عَصَاىَ|عِصِيُّهُمْ|عِصِيَّهُمْ	عَصَا2|عِصِيّ
ع ض و	ع ض ض	root_001024	ع ض ض	ع ض ض	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	15:91:4	عِضِينَ	عِضِين
ع م ي	ع م م	root_001047	ع م م	ع م م	source_root_norm	3	same_word_root_diff:3	unchanged:3	surface_or_stem_match:3	5:71:7|5:71:15|7:64:19	عَمُوا۟|عَمِينَ	عَمِىَ|عَمِىَ|عَمُون
ع ن و	ع ن ت	root_001051	ع ن ت	ع ن ت	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	20:111:2	عَنَتِ	عَنَتِ
ع و د	ع د د	root_000989	ع د د	ع د د	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	17:8:7|17:8:8	عُدتُّمْ|عُدْنَا	عَادَ|عَادَ
ع و ن	ع ي ن	root_001069	ع ي ن	ع ي ن	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	18:95:8	أَعِينُونِي	أَعَانَ
غ ش و	غ ش ي	root_001089	غ ش ي	غ ش ي	source_root_norm	3	same_word_root_diff:3	unchanged:3	surface_or_stem_match:3	7:41:9|10:27:20|36:9:12	غَوَاشٍ|أُغْشِيَتْ|أَغْشَيْنَٰهُمْ	غَٰشِيَة|أُغْشِيَتْ
غ ي ث	غ و ث	root_001111	غ و ث	غ و ث	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	12:49:8	يُغَاثُ	يُغَاثُ2
ف ء ي	ف ي ء	root_001191	ف ي ء	ف ي أ	root_norm_unique	9	same_word_root_diff:9	unchanged:9	surface_or_stem_match:9	2:249:64|2:249:67|3:13:6|3:13:8|4:88:6|8:16:13|8:45:7|18:43:5	فِئَةٍ|فِئَةً|فِئَتَيْنِ|فِئَةٌۭ|فِئَةًۭ|فِئَةٌ|فِئَةٍۢ	فِئَة|فِئَة|فِئَة
ف ت ي	ف ت و	root_001129	ف ت و	ف ت و	source_root_norm	1	same_word_root_diff:1	disputed:1	surface_or_stem_match:1	12:43:22	أَفْتُونِي	يُفْتِي
ف ت ي	ف و ت	root_001183	ف و ت	ف و ت	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	27:32:5	أَفْتُونِى	يُفْتِي
ف ر ي	ف ت ر	root_001125	ف ت ر	ف ت ر	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	10:37:7|12:111:13	يُفْتَرَىٰ|يُفْتَرَى	ٱفْتَرَىٰ
ف ع ل	ء ب و	root_000007	ء ب و	أ ب و	root_norm_unique	1	same_word_root_diff:1	disputed:1	surface_or_stem_match_position_tie_break:1	37:102:21	أَبَتِ	فَعَلَ
ق س ر	ق س و ر	root_001228	ق س و ر	ق س و ر	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	74:51:3	قَسْوَرَةٍۭ	قَسْوَرَة
ق ض ض	ن ق ض	root_001543	ن ق ض	ن ق ض	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	18:77:20	يَنقَضَّ	يَنقَضَّ
ق ف و	ق و ف	root_001271	ق و ف	ق و ف	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	17:36:3	تَقْفُ	تَقْفُ
ق و ل	ق ل ل	root_001251	ق ل ل	ق ل ل	source_root_norm	163	same_word_root_diff:163	unchanged:163	surface_or_stem_match:163	2:34:3|2:35:2|2:36:11|2:55:3|2:60:8|2:65:11|2:94:1|2:97:1	قُلْنَا|قُلْتُمْ|قُلْ|قُلِ|قُل|قُلْتُ|قُلْتَ	قَالَ|قَالَ|قَالَ|قَالَ|قَالَ|قَالَ|قَالَ|قَالَ|قَالَ|قَالَ|قَالَ|قَالَ
ك ف ف	ك ف ي	root_001310	ك ف ي	ك ف ي	source_root_norm	4	same_word_root_diff:4	unchanged:4	surface_or_stem_match:4	2:208:8|9:36:31|9:36:35|9:122:7	كَآفَّةًۭ	كَآفَّة|كَآفَّة|كَآفَّة
ك ف ي	ك ف ف	root_001308	ك ف ف	ك ف ف	source_root_norm	4	same_word_root_diff:4	unchanged:4	surface_or_stem_match:4	2:137:21|3:124:6|15:95:2|41:53:16	سَيَكْفِيكَهُمُ|يَكْفِيَكُمْ|كَفَيْنَٰكَ|يَكْفِ	كَفَىٰ
ك ن ن	ك و ن	root_001332	ك و ن	ك و ن	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	17:46:5	أَكِنَّةً	أَكِنَّة
ك و د	ك ي د	root_001334	ك ي د	ك ي د	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	17:74:6|24:40:23	كِدتَّ|يَكَدْ	كَادَ
ل ف و	ء ل ف	root_000045	ء ل ف	أ ل ف	root_norm_unique	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	37:69:2	أَلْفَوْا۟	أَلْفَ
ل ف و	ل ف ي	root_001366	ل ف ي	ل ف ي	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	2:170:14|12:25:10	أَلْفَيْنَا|أَلْفَيَا	أَلْفَ
ل و م	ل م م	root_001378	ل م م	ل م م	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	12:32:5	لُمْتُنَّنِي	لُمْ
م ر ي	م و ر	root_001456	م و ر	م و ر	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	18:22:30	تُمَارِ	تُمَارِ
م ع ن	ع و ن	root_001064	ع و ن	ع و ن	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	107:7:3	ٱلْمَاعُونَ	مَاعُون
م ل و	م ل ي	root_001447	م ل ي	م ل ي	source_root_norm	5	same_word_root_diff:5	unchanged:5	surface_or_stem_match:5	13:32:10|22:44:8|22:48:6|25:5:8|47:25:18	أَمْلَيْتُ|تُمْلَىٰ|أَمْلَىٰ	أَمْلَىٰ
ن د و	ن د ي	root_001487	ن د ي	ن د ي	source_root_norm	33	same_word_root_diff:33	unchanged:33	surface_or_stem_match:33	2:171:16|3:193:4|3:193:5|5:58:3|7:44:2|7:48:2|7:50:2|11:42:11	نِدَآءً|مُنَادِيًا|يُنَادِي|نَادَيْتُمْ|نَادَىٰٓ|نَادَى|نَادَىٰ|نَادَيْنَاهُ	نِدَآء|مُنَادِي|نَادَىٰ|نَدِيّ|نَادِي|تَّنَاد|مُنَاد|تَنَادَ
ن د و	ن و د	root_001563	ن و د	ن و د	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	7:43:38	نُودُوٓا۟	نَادَىٰ
ن و ب	ن ب ء	root_001464	ن ب ء	ن ب أ	root_norm_unique	1	same_word_root_diff:1	disputed:1	surface_or_stem_match:1	60:4:62	أَنَبْنَا	أَنَابَ
ن و ب	ن ي ب	root_001571	ن ي ب	ن ي ب	source_root_norm	3	same_word_root_diff:3	unchanged:3	surface_or_stem_match:3	11:88:41|42:10:18|42:13:44	أُنِيبُ|يُنِيبُ	أَنَابَ
ن و س	ء ن س	root_000059	ء ن س	أ ن س	root_norm_unique	241	same_word_root_diff:241	disputed:241	surface_or_stem_match:241	2:8:3|2:13:10|2:21:3|2:24:13|2:44:2|2:83:25|2:94:12|2:96:5	ٱلنَّاسِ|ٱلنَّاسُ|ٱلنَّاسُ|ٱلنَّاسَ|ٱلنَّاسَ|لنَّاسِ|النَّاسِ|ٱلنَّاسِ	نَّاس|نَّاس|نَّاس
ه ء ت	ه ا ت	root_001574	ه ا ت	ه ا ت	source_root_norm	4	same_word_root_diff:4	unchanged:4	surface_or_stem_match:4	2:111:15|21:24:7|27:64:17|28:75:9	هَاتُوا۟|هَاتُوا	هَاتُ
ه د ي	ه د د	root_001580	ه د د	ه د د	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	32:26:3	يَهْدِ	هَدَى
ه ل ل	ء ه ل	root_000064	ء ه ل	أ ه ل	root_norm_unique	4	same_word_root_diff:4	unchanged:4	surface_or_stem_match:4	2:173:12|5:3:11|6:145:27|16:115:12	أُهِلَّ	أُهِلَّ
ه و د	ه د د	root_001580	ه د د	ه د د	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	7:156:12	هُدْنَا	هَادُ
ه و د	ه د ي	root_001583	ه د ي	ه د ي	source_root_norm	10	same_word_root_diff:10	unchanged:10	surface_or_stem_match:10	2:62:6|4:46:3|4:160:6|5:41:23|5:44:15|5:69:6|6:146:4|16:118:4	هَادُوا۟|هَادُوا	هَادُ
ه و ن	م ه ن	root_001453	م ه ن	م ه ن	source_root_norm	14	same_word_root_diff:14	unchanged:14	surface_or_stem_match:14	2:90:32|3:178:23|4:14:17|4:37:20|4:102:85|4:151:10|22:57:13|31:6:23	مُّهِينٌ|مُهِينٌ|مُهِينًا|مُّهِينًۭا|مُّهِينًۭا|ٱلْمُهِينِ|مُّهِينٌۭ|مُّهِينٌۭ	مُّهِين
ه و ن	و ه ن	root_001687	و ه ن	و ه ن	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	22:18:37	يُهِنِ	أَهَٰنَ
و ج د	ج د د	root_000227	ج د د	ج د د	source_root_norm	10	same_word_root_diff:10	unchanged:10	surface_or_stem_match:10	2:196:60|4:92:62|4:123:16|5:89:33|6:145:3|7:17:18|12:94:9|17:77:10	يَجِدْ|أَجِدُ|تَجِدُ	وَجَدَ
و ذ ر	ذ و ر	root_000525	ذ و ر	ذ و ر	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	48:15:9	ذَرُونَا	يَذَرَ
و ز ر	ز و ر	root_000654	ز و ر	ز و ر	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	6:164:20	تَزِرُ	يَزِرُ
و س ع	س و ع	root_000760	س و ع	س و ع	source_root_norm	3	same_word_root_diff:3	unchanged:3	surface_or_stem_match:3	2:247:27|4:100:13|65:7:4	سَعَةً|سَعَةًۭ|سَعَةٍۢ	سَعَة|سَعَة|سَعَة
و س ن	س ن ن	root_000750	س ن ن	س ن ن	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	2:255:10	سِنَةٌۭ	سِنَة
و ش ي	ش ي ء	root_000831	ش ي ء	ش ي ء	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	2:71:16	شِيَةَ	شِيَة
و ص د	ء ص د	root_000036	ء ص د	أ ص د	root_norm_unique	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	90:20:3|104:8:3	مُّؤْصَدَةٌۢ|مُّؤْصَدَةٌ	مُّؤْصَدَة
و ع د	ع د د	root_000989	ع د د	ع د د	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	17:64:20|17:64:23	عِدْهُمْ|يَعِدُهُمُ	وَعَدَ
و ع د	ع و م	root_001063	ع و م	ع و م	source_root_norm	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	18:58:19	مَوْعِدٌ	مَّوْعِد
و ق ع	ق و ع	root_001270	ق و ع	ق و ع	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	15:29:10|38:72:10	قَعُوا۟	وَقَعَ
و ق ع	و ق ع ق و ع				missing_furuq_root	1	same_word_root_diff:1	unchanged:1	surface_or_stem_match:1	22:65:21	تَقَعَ	وَقَعَ
و ل ج	ل ج ج	root_001344	ل ج ج	ل ج ج	source_root_norm	2	same_word_root_diff:2	unchanged:2	surface_or_stem_match:2	7:40:20|57:4:16	يَلِجَ|يَلِجُ	يَلِجَ
ي د ي	ء ي د	root_000071	ء ي د	أ ي د	root_norm_unique	3	same_word_root_diff:3	unchanged:3	surface_or_stem_match:3	7:195:8|30:41:10|48:20:12	أَيْدٍ|أَيْدِى|أَيْدِيَ	يَد
ء ب ب	ء ب ب	root_000003	ء ب ب	أ ب ب	root_norm_unique	1	same_word_same_root:1	unchanged:1	surface_or_stem_match:1	80:31:4	أَبًّۭا	أَبّ
ء ب د	ء ب د	root_000004	ء ب د	أ ب د	root_norm_unique	28	same_word_same_root:28	unchanged:28	surface_or_stem_match:28	2:95:4|4:57:15|4:122:15|4:169:6|5:24:7|5:119:17|9:22:3|9:83:17	أَبَدًا|أَبَدًۭا|أَبَدَاً	أَبَدًا
ء ب ق	ء ب ق	root_000005	ء ب ق	أ ب ق	root_norm_unique	1	same_word_same_root:1	unchanged:1	surface_or_stem_match:1	37:140:2	أَبَقَ	أَبَقَ
ء ب ل	ء ب ل	root_000006	ء ب ل	أ ب ل	root_norm_unique	3	same_word_same_root:3	unchanged:3	surface_or_stem_match:3	6:144:3|88:17:5|105:3:5	ٱلْإِبِلِ|أَبَابِيلَ	إِبِل|أَبَابِيل
ء ب و	ء ب و	root_000007	ء ب و	أ ب و	root_norm_unique	68	same_word_same_root:68	disputed:68	surface_or_stem_match:68	2:170:16|2:200:10|5:104:19|6:74:6|7:28:8|7:95:12|9:23:7|9:114:7	ءَابَآءَنَآ|ءَابَآءَكُمْ|أَبِيهِ|ءَابَآءَنَا|ءَابَاءَنَا|أَبَتِ|أَبِينَا|أَبَانَا	آبَاء|آبَاء|آبَاء|أَبٌ|أَبٌ|أَبٌ
ء ب ي	ء ب ي	root_000008	ء ب ي	أ ب ي	root_norm_unique	10	same_word_same_root:10	disputed:10	surface_or_stem_match:10	2:34:13|9:8:17|9:32:9|15:31:3|17:89:14|17:99:25|20:56:10|20:116:13	أَبَى|تَأْبَىٰ|يَأْبَى|أَبَىٰ|أَبَىٰٓ|أَبَيْنَ	أَبَى
ء ت ي	ء ت ي	root_000009	ء ت ي	أ ت ي	root_norm_unique	362	same_word_same_root:362	corrected:1|unchanged:361	surface_or_stem_match:362	2:23:11|2:25:29|2:38:7|2:53:3|2:63:11|2:87:4|2:87:14|2:93:11	أْتُوا۟|أُتُوا۟|يَأْتِيَنَّكُمْ|ءَاتَيْنَا|ءَاتَيْنَٰكُم|آتَيْنَا|أُوتُوا۟|نَأْتِ	أَتَى|آتَى|آتَى|آتَى|أَتَى|آتَى|آتَى|أَتَى|أَتَى|آتَى|أَتَى|آتَى|آتَى|آتَى|أَتَى|أَتَى|أَتَى|أَتَى
ء ث ث	ء ث ث	root_000010	ء ث ث	أ ث ث	root_norm_unique	1	same_word_same_root:1	unchanged:1	surface_or_stem_match:1	16:80:28	أَثَٰثًۭا	أَثَٰث
ء ث ر	ء ث ر	root_000011	ء ث ر	أ ث ر	root_norm_unique	9	same_word_same_root:9	unchanged:9	surface_or_stem_match:9	12:91:6|20:84:5|20:96:12|30:50:4|40:21:21|40:82:21|48:29:25|74:24:7	ءَاثَرَكَ|أَثَرِى|أَثَرِ|ءَاثَٰرِ|ءَاثَارًۭا|يُؤْثَرُ|ءَاثَرَ	آثَرَ|أَثَر|يُؤْثَرُ
ء ث ل	ء ث ل	root_000012	ء ث ل	أ ث ل	root_norm_unique	1	same_word_same_root:1	unchanged:1	surface_or_stem_match:1	34:16:17	أَثْلٍۢ	أَثْل
ء ث م	ء ث م	root_000013	ء ث م	أ ث م	root_norm_unique	48	same_word_same_root:48	unchanged:48	surface_or_stem_match:48	2:85:15|2:173:27|2:181:8|2:182:8|2:182:14|2:188:20|2:203:14|2:203:21	ٱلْإِثْمِ|إِثْمَ|إِثْمُهُۥ|إِثْمًا|إِثْمٌۭ|إِثْمُهُمَآ|أَثِيمٍ|آثِمٌ	إِثْم|إِثْم|إِثْم|أَثِيم|آثِم|أَثَام|تَأْثِيم
ء ج ج	ء ج ج	root_000014	ء ج ج	أ ج ج	root_norm_unique	3	same_word_same_root:3	unchanged:3	surface_or_stem_match:3	25:53:12|35:12:13|56:70:4	أُجَاجٌ|أُجَاجًۭا	أُجَاج
ء ج ر	ء ج ر	root_000015	ء ج ر	أ ج ر	root_norm_unique	105	same_word_same_root:105	unchanged:105	surface_or_stem_match:105	2:62:24|2:112:12|2:262:18|2:274:14|2:277:15|3:57:10|3:136:16|3:171:13	أَجْرُهُمْ|أَجْرُهُۥ|أُجُورَهُمْ|أَجْرُ|أَجْرَ|أَجْرٌ|أُجُورَكُمْ|أُجُورَهُنَّ	أَجْر|أَجْر|أَجْر
ء ج ل	ء ج ل	root_000016	ء ج ل	أ ج ل	root_norm_unique	56	same_word_same_root:56	unchanged:56	surface_or_stem_match:56	2:231:7|2:232:7|2:234:18|2:235:37|2:282:10|2:282:112|3:145:13|4:77:42	أَجَلَهُنَّ|أَجَلَهُ|أَجَلٍۢ|أَجَلِهِۦ|مُّؤَجَّلًا|أَجَلٍ|أَجْلِ|أَجَلًۭا	أَجَل|أَجَل|أَجَل|مُّؤَجَّل|أَجْل|أَجَل|أَجَّلَ|أَجَّلَ
ء ح د	ء ح د	root_000017	ء ح د	أ ح د	root_norm_unique	79	same_word_same_root:79	unchanged:79	surface_or_stem_match:79	2:96:13|2:102:34|2:102:60|2:136:37|2:180:5|2:266:2|2:285:24|3:73:16	أَحَدُهُمْ|أَحَدٍ|أَحَدَكُمُ|أَحَدُكُمْ|أَحَدٍۢ|أَحَدٌ|أَحَدِهِمْ|أَحَدَهُمُ	أَحَد|أَحَد|أَحَد|إِحْدَى
ء خ ذ	ء خ ذ	root_000018	ء خ ذ	أ خ ذ	root_norm_unique	232	same_word_same_root:232	corrected:1|unchanged:231	surface_or_stem_match:232	2:48:17|2:51:8|2:54:13|2:55:14|2:63:3|2:63:9|2:80:10|2:83:3	يُؤْخَذُ|ٱتَّخَذْتُمُ|ٱتِّخَاذِكُمُ|أَخَذَتْكُمُ|أَخَذْنَا|خُذُوا۟|أَتَّخَذْتُمْ|اتَّخَذْتُمُ	أَخَذَ|ٱتَّخَذَ|ٱتِّخَاذ|أَخَذَ|أَخَذَ|آخِذ|مُتَّخِذ|أَخَذَ|أَخَذَ|أَخَذَ|أَخْذ
