rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
37	PF0037	0.5288	soil / unevenness / stay / sterility	16	1,2,3,4,5,6,7,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ص ب ح ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	ح ب ب:B005@8:البعير يلزم مكانه من عجز | ر ب ب:B007@6,11:لزوم وإقامة ودوام | ع د و:B010@1:العَدْواء في صلابة المكان واضطرابه | ع ل م:B004@9:شق ظاهر في الشفة العليا | ك ن د:B003@6:الأرض التي لا تنبت | ن ق ع:B007@4:نقاع الأرض القيعان السهلة	ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ث و ر:B006@4:ثور اسما لمكان أو قوم أو برج | ح ص ل:B004@10:موضع يجتمع فيه الطعام في جوف الطائر | خ ب ر:B002@11:لين الأرض ومائها | خ ب ر:B005@11:اللِّين في النبات والوبر والزبد | ق ب ر:B003@9:القُبَّرة الطائر	P1232	P1232[ع د و:B010→ر ب ب:B007 ; ر ب ب:B007→ح ب ب:B005 ; ع د و:B010→ك ن د:B003 ; ن ق ع:B007→ك ن د:B003 ; ح ب ب:B005→خ ب ر:B005] | P0244[ع د و:B010→ر ب ب:B007 ; ر ب ب:B007→ح ب ب:B005 ; ح ب ب:B005→ع ل م:B004 ; ع د و:B010→ك ن د:B003 ; غ ي ر:B004→ع ل م:B004 ; ن ق ع:B007→ك ن د:B003 ; غ ي ر:B004→ج م ع:B013 ; ق د ح:B010→ج م ع:B013 ; ج م ع:B013→ب ع ث ر:B002] | P0288[ع د و:B010→ك ن د:B003 ; ك ن د:B003→خ ب ر:B003 ; و ر ي:B008→خ ب ر:B003 ; ن ق ع:B007→ك ن د:B003 ; ع د و:B010→ر ب ب:B007 ; ر ب ب:B007→ح ب ب:B005 ; ح ب ب:B005→ع ل م:B004 ; و ر ي:B008→ص ب ح:B007 ; ح ب ب:B005→ح ص ل:B004] | P0638[ع د و:B010→ر ب ب:B007 ; ر ب ب:B007→ح ب ب:B005 ; ع د و:B010→ك ن د:B003 ; ن ق ع:B007→ك ن د:B003 ; ح ب ب:B005→ع ل م:B004 ; ع ل م:B004→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001 ; و ر ي:B005→خ ب ر:B001]
38	PF0038	0.5281	division / cutting / fire / space_form_boundary/boundary	19	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ش د د ص ب ح ص د ر ض ب ح ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	ش د د:B002@8:شدة القوة والصلابة | ض ب ح:B003@1:إحراق أعالي العود | ق د ح:B002@2:نقر الشيء وعيبه | ك ن د:B001@6:القطع والانفصال | و س ط:B006@5:قطع الشيء نصفين	ث و ر:B001@4:انبعاث الشيء وانتشاره ظاهرا | ث و ر:B005@4:ثورة الأقط: قطعة جامدة | ج م ع:B012@5:عظم الشيء كأنه جامع ممتلئ | ح ب ب:B001@8:الحبة التي تنبت وتحمل الحب | ح ب ب:B011@8:نار الحباحب شرر لا ينتفع به | ص د ر:B006@10:الطائفة من الشيء | ق ب ر:B002@9:غموض الشيء وتطامنه	P0649	P0649[ج م ع:B012→ح ب ب:B007 ; ج م ع:B012→ص د ر:B006 ; و س ط:B006→ص د ر:B006 ; و س ط:B006→ك ن د:B001 ; ك ن د:B001→ش د د:B002 ; ق د ح:B002→ش د د:B002 ; ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ق ب ر:B002] | P0047[و ر ي:B004→ح ب ب:B001 ; ك ن د:B001→ح ب ب:B001 ; و س ط:B006→ك ن د:B001 ; و ر ي:B004→خ ب ر:B004 ; ص ب ح:B008→خ ب ر:B004 ; و س ط:B006→ص د ر:B006 ; ك ن د:B001→ش د د:B002 ; ق د ح:B002→ش د د:B002 ; ض ب ح:B003→ق د ح:B002] | P0185[ق د ح:B002→ش د د:B002 ; ك ن د:B001→ش د د:B002 ; ق د ح:B002→ق ب ر:B002 ; ض ب ح:B003→ق د ح:B002 ; ث و ر:B001→ق ب ر:B002 ; و س ط:B006→ك ن د:B001 ; ض ب ح:B003→ح ب ب:B011 ; ح ب ب:B011→ح ص ل:B004 ; ص ب ح:B005→ح ب ب:B011] | P0091[ق د ح:B002→ش د د:B002 ; ك ن د:B001→ش د د:B002 ; و س ط:B006→ك ن د:B001 ; ض ب ح:B003→ق د ح:B002 ; و س ط:B006→ص د ر:B006 ; ك ن د:B001→ح ب ب:B001 ; ح ب ب:B001→ب ع ث ر:B001 ; ث و ر:B002→ب ع ث ر:B001 ; ر ب ب:B002→ب ع ث ر:B001]
39	PF0039	0.5281	epistemology / knowledge / report / evidence	11	1,2,4,5,6,7,8,9,10,11	ء ن س ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ص د ر ع د و ع ل م ق د ح و ر ي	ء ن س:B003@6:الأنس الذي يزيل الوحشة | ث و ر:B004@4:الثور: ذكر البقر | خ ب ر:B001@11:العلم بالخبر وباطن الأمر | ش ه د:B002@7:البيان بعلم | ع ل م:B001@9:انكشاف الشيء للعارف	ح ب ب:B002@8:المحبة الملازمة للقلب | ح ب ب:B009@8:حبب الأسنان انتظام كالدرر | ر ب ب:B003@6,11:علم رباني | ر ب ب:B014@6,11:رَبْرَب قطيع | ص د ر:B001@10:الصدر الجارحة وما يتصل بها | ق د ح:B004@2:أكال الشجر والسن | و ر ي:B005@2:ستر الشيء وجعله وراء الظهور	P1583	P1583[ء ن س:B003→ح ب ب:B009 ; ء ن س:B003→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; و ر ي:B005→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001] | P0240[ء ن س:B003→ح ب ب:B002 ; ء ن س:B003→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; و ر ي:B005→خ ب ر:B001 ; و ر ي:B005→ح ص ل:B001 ; ج م ع:B001→ح ص ل:B001 ; ش ه د:B002→خ ب ر:B001 ; ث و ر:B004→ء ن س:B003 ; ث و ر:B004→ر ب ب:B014] | P0884[ق د ح:B004→ح ب ب:B009 ; ء ن س:B003→ح ب ب:B009 ; ء ن س:B003→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; ع د و:B011→ق د ح:B004 ; ش ه د:B002→خ ب ر:B001 ; ع د و:B011→ر ب ب:B012] | P0686[ق د ح:B004→ح ب ب:B009 ; ء ن س:B003→ح ب ب:B009 ; ء ن س:B003→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001 ; ث و ر:B004→ء ن س:B003 ; ث و ر:B004→ص د ر:B001 ; ث و ر:B004→ر ب ب:B014]
40	PF0040	0.5253	selection / epistemology / favorite / confidant	8	1,2,5,6,7,8,9,10,11	ء ن س ج م ع ح ص ل خ ب ر خ ي ر ر ب ب ش ه د ض ب ح ع د و ع ل م ق د ح و ر ي و س ط	ء ن س:B006@6:ابن الإنس للنفس والصفوة | خ ب ر:B001@11:العلم بالخبر وباطن الأمر | خ ي ر:B003@8:طلب الخير بالاختيار والاستخارة | ع ل م:B001@9:انكشاف الشيء للعارف | و ر ي:B003@2:زند يقدح نجاحا أو نصرة	ر ب ب:B003@6,11:علم رباني | ش ه د:B002@7:البيان بعلم | و س ط:B001@5:العدل والخيار في موضع الوسط	P1539	P1539[ء ن س:B006→خ ي ر:B003 ; ء ن س:B006→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; و ر ي:B003→خ ي ر:B003 ; ر ب ب:B003→ع ل م:B001] | P0855[ء ن س:B006→خ ي ر:B003 ; ء ن س:B006→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; و ر ي:B003→خ ي ر:B003 ; ش ه د:B002→خ ب ر:B001 ; و ر ي:B003→ق د ح:B001 ; ض ب ح:B003→ق د ح:B001] | P1729[ء ن س:B006→خ ي ر:B003 ; ء ن س:B006→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; و ر ي:B005→خ ب ر:B001 ; و ر ي:B005→ح ص ل:B001] | P1511[و س ط:B001→خ ي ر:B003 ; ء ن س:B006→خ ي ر:B003 ; ء ن س:B006→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001]
41	PF0041	0.5249	abundance / exhumation / copiousness / provocation	5	1,2,3,4,6,8,9,10,11	ء ن س ب ع ث ر ث و ر ح ب ب ح ص ل خ ب ر ر ب ب ص ب ح ع د و ن ق ع و ر ي	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | خ ب ر:B004@11:الغزر في المزادة والناقة | و ر ي:B004@2:شحم وار وسمن ظاهر	ء ن س:B003@6:الأنس الذي يزيل الوحشة | ح ب ب:B002@8:المحبة الملازمة للقلب | ح ب ب:B007@8:الحب جرة عظيمة أو موضعها | ح ص ل:B002@10:استخراج اللب أو النفيس من غلافه | ر ب ب:B002@6,11:إصلاح وتربية وإتمام | ص ب ح:B008@3:الناقة المصباح | ع د و:B001@1:مجاوزة الحد والظلم | ن ق ع:B006@4:سم ناقع ثابت أو قاتل	P1408	P1408[ع د و:B001→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ب ع ث ر:B001→خ ب ر:B004 ; ث و ر:B002→ب ع ث ر:B001 ; ر ب ب:B002→ب ع ث ر:B001] | P0895[ء ن س:B003→ح ب ب:B002 ; ح ب ب:B002→ب ع ث ر:B001 ; ث و ر:B002→ب ع ث ر:B001 ; ب ع ث ر:B001→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ص ب ح:B008→خ ب ر:B004] | P1577[و ر ي:B004→ن ق ع:B006 ; و ر ي:B004→خ ب ر:B004 ; ب ع ث ر:B001→خ ب ر:B004 ; ث و ر:B002→ب ع ث ر:B001 ; ب ع ث ر:B001→ح ص ل:B002] | P2130[ح ب ب:B007→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ب ع ث ر:B001→خ ب ر:B004 ; ث و ر:B002→ب ع ث ر:B001]
42	PF0042	0.5246	animal_life/wildlife / ornithology / avian / lark	41	1,2,3,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ش د د ش ه د ص د ر ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	ث و ر:B006@4:ثور اسما لمكان أو قوم أو برج | ح ب ب:B005@8:البعير يلزم مكانه من عجز | ع ل م:B006@9:طائر جارح يسمى العلام | غ ي ر:B004@3:الغَيْرة على الأهل | ق ب ر:B003@9:القُبَّرة الطائر	ب ع ث ر:B002@9:تبديد المتاع وقلب بعضه على بعض | ج م ع:B013@5:ممالأة واجتماع مع غيرك على أمر | خ ب ر:B005@11:اللِّين في النبات والوبر والزبد | ر ب ب:B007@6,11:لزوم وإقامة ودوام | ر ب ب:B008@6,11:رباب السحاب | ع د و:B011@1:العَدَوِيّة من نبات الصيف | ع ل م:B004@9:شق ظاهر في الشفة العليا | ق د ح:B010@2:اقتداح الأمر بالنظر والتدبير | ك ن د:B004@6:اسم كندة	P0425	P0425[ث و ر:B006→ر ب ب:B008 ; ث و ر:B006→ق ب ر:B003 ; ع ل م:B006→ق ب ر:B003 ; غ ي ر:B004→ع ل م:B006 ; غ ي ر:B004→ج م ع:B013 ; ق د ح:B010→ج م ع:B013 ; ر ب ب:B008→خ ب ر:B005 ; ع د و:B011→خ ب ر:B005] | P0709[ع د و:B007→غ ي ر:B002 ; غ ي ر:B002→ك ن د:B004 ; ث و ر:B006→ك ن د:B004 ; ث و ر:B006→ر ب ب:B007 ; ر ب ب:B007→ح ب ب:B005 ; ح ب ب:B005→ع ل م:B004 ; ث و ر:B006→ق ب ر:B003 ; ح ب ب:B005→ح ص ل:B004] | P0026[ق د ح:B003→ب ع ث ر:B002 ; ج م ع:B013→ب ع ث ر:B002 ; غ ي ر:B004→ج م ع:B013 ; غ ي ر:B004→ع ل م:B006 ; ع ل م:B006→ق ب ر:B003 ; ث و ر:B006→ق ب ر:B003 ; ج م ع:B013→ر ب ب:B004 ; ج م ع:B013→ص د ر:B005 ; ح ب ب:B004→ب ع ث ر:B002] | P0353[ع د و:B011→ق د ح:B004 ; ع د و:B011→ر ب ب:B012 ; ر ب ب:B012→ق ب ر:B003 ; ث و ر:B006→ق ب ر:B003 ; ج م ع:B011→ر ب ب:B012 ; ج م ع:B011→ح ص ل:B005 ; ع ل م:B006→ق ب ر:B003 ; غ ي ر:B004→ع ل م:B006 ; ش ه د:B006→ح ص ل:B005]
43	PF0043	0.5206	cattle / ox / world / bovine	7	1,2,3,4,5,6,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب خ ب ر ر ب ب ص ب ح ص د ر ض ب ح ن ق ع و ر ي	ث و ر:B004@4:الثور: ذكر البقر | خ ب ر:B003@11:إصلاح الأرض بالمخابرة | ر ب ب:B014@6,11:رَبْرَب قطيع | و ر ي:B008@2:الورى: الخلق على ظهر الأرض	ء ن س:B001@6:ظهور الإنسان المخالف للتوحش والجن | ح ب ب:B010@8:الحبحاب الصغير القصير | ص ب ح:B007@3:الصُّبْحة نوما | ص د ر:B001@10:الصدر الجارحة وما يتصل بها	P1454	P1454[و ر ي:B008→ث و ر:B004 ; ث و ر:B004→ر ب ب:B014 ; و ر ي:B008→خ ب ر:B003 ; ث و ر:B004→ص د ر:B001] | P0622[ر ب ب:B014→ح ب ب:B010 ; ث و ر:B004→ر ب ب:B014 ; ث و ر:B004→ص د ر:B001 ; ب ع ث ر:B003→ص د ر:B001 ; ص ب ح:B007→ب ع ث ر:B003 ; و ر ي:B008→ص ب ح:B007 ; و ر ي:B008→خ ب ر:B003 ; ض ب ح:B001→ب ع ث ر:B003] | P1903[ء ن س:B003→ح ب ب:B002 ; ث و ر:B004→ء ن س:B003 ; و ر ي:B008→ث و ر:B004 ; و ر ي:B008→خ ب ر:B003] | P2031[ج م ع:B007→ء ن س:B001 ; ث و ر:B004→ء ن س:B001 ; و ر ي:B008→ث و ر:B004 ; و ر ي:B008→خ ب ر:B003]
44	PF0044	0.5201	result / exception / exclusion / logic	5	1,2,3,4,5,6,8,10,11	ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ع د و غ ي ر ك ن د ن ق ع و ر ي و س ط	ج م ع:B009@5:اكتمال الشيء كله بلا تفرق أو نقص | ح ص ل:B001@10:جمع الشيء حتى يظهر حاصله | ع د و:B004@1:المجاوزة والاستثناء والصرف | غ ي ر:B005@3:السوى والخلاف والاستثناء والنفي	ح ب ب:B001@8:الحبة التي تنبت وتحمل الحب | خ ب ر:B004@11:الغزر في المزادة والناقة | خ ي ر:B002@8:فضل الصلاح والاصطفاء | ر ب ب:B004@6,11:ربة وجماعات كثيرة | ك ن د:B001@6:القطع والانفصال | ن ق ع:B006@4:سم ناقع ثابت أو قاتل | و ر ي:B004@2:شحم وار وسمن ظاهر | و ر ي:B005@2:ستر الشيء وجعله وراء الظهور | و س ط:B003@5:الدخول أو الجعل في الوسط | و س ط:B004@5:مرتبة وسطى بين الجيد والرديء	P1650	P1650[ع د و:B004→غ ي ر:B005 ; غ ي ر:B005→ج م ع:B009 ; ج م ع:B009→ح ص ل:B001 ; و ر ي:B005→ح ص ل:B001] | P1096[غ ي ر:B005→ج م ع:B009 ; ع د و:B004→غ ي ر:B005 ; ن ق ع:B006→ج م ع:B009 ; و ر ي:B004→ن ق ع:B006 ; و ر ي:B004→خ ب ر:B004 ; ج م ع:B009→ح ص ل:B001] | P1495[و س ط:B003→ج م ع:B009 ; غ ي ر:B005→ج م ع:B009 ; ع د و:B004→غ ي ر:B005 ; ج م ع:B009→ح ص ل:B001 ; و س ط:B003→ر ب ب:B004] | P1640[غ ي ر:B005→ج م ع:B009 ; ع د و:B004→غ ي ر:B005 ; ج م ع:B009→ح ص ل:B001 ; ك ن د:B001→ح ص ل:B001 ; ك ن د:B001→ح ب ب:B001]
45	PF0045	0.5193	welfare / virtue / treaty / pact	7	1,2,3,4,5,6,8,9,11	ث و ر ج م ع خ ي ر ر ب ب ش د د ع د و ع ل م غ ي ر و ر ي و س ط	ث و ر:B003@4:هيجان إلى مواجهة أو غضب | خ ي ر:B001@8:الميل إلى الخير النافع | ر ب ب:B011@6,11:ربابة عهد وميثاق | ع د و:B012@1:العَنْدَأْوَة في الالتواء والعسر	ج م ع:B010@5:استجماع القوة أو السير حتى تتلاحق أجزاؤه | ش د د:B001@8:شد العقد والوثاق | ع د و:B008@1:العِداء في تعاقب الصيد | غ ي ر:B001@3:الصلاح والمنفعة بالميرة والسقي والإصلاح	P1691	P1691[ج م ع:B010→خ ي ر:B001 ; ث و ر:B003→خ ي ر:B001 ; ث و ر:B003→ر ب ب:B011 ; ع د و:B012→ر ب ب:B011 ; ر ب ب:B011→ش د د:B001] | P1323[ع د و:B008→ر ب ب:B011 ; ث و ر:B003→ر ب ب:B011 ; ث و ر:B003→خ ي ر:B001 ; غ ي ر:B001→خ ي ر:B001 ; ر ب ب:B011→ش د د:B001] | P1400[ث و ر:B003→خ ي ر:B001 ; ث و ر:B003→ر ب ب:B011 ; ع د و:B012→ر ب ب:B011 ; غ ي ر:B001→خ ي ر:B001 ; ع د و:B012→ع ل م:B007] | P2161[ع د و:B008→ر ب ب:B011 ; ر ب ب:B011→ش د د:B001 ; ث و ر:B003→ر ب ب:B011 ; و ر ي:B005→ث و ر:B003]
46	PF0046	0.5182	result / language_communication/grammar_expression / origin / dominion	15	1,2,3,4,5,6,7,8,9,10,11	ء ن س ث و ر ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ش د د ش ه د ص ب ح ص د ر ع د و ع ل م غ ي ر ق ب ر ك ن د و ر ي و س ط	ج م ع:B009@5:اكتمال الشيء كله بلا تفرق أو نقص | ح ص ل:B001@10:جمع الشيء حتى يظهر حاصله | ر ب ب:B001@6,11:ربوبية وملك وسيادة | ص د ر:B004@10:الأصل الذي تصدر عنه الأفعال	ج م ع:B001@5:ضم المتفرق حتى يصير شيئا مجموعا | خ ب ر:B001@11:العلم بالخبر وباطن الأمر | ش د د:B001@8:شد العقد والوثاق | ص ب ح:B010@3:أصبح بمعنى صار | ع د و:B004@1:المجاوزة والاستثناء والصرف | ع ل م:B001@9:انكشاف الشيء للعارف | غ ي ر:B005@3:السوى والخلاف والاستثناء والنفي | و ر ي:B005@2:ستر الشيء وجعله وراء الظهور | و س ط:B003@5:الدخول أو الجعل في الوسط	P0780	P0780[ج م ع:B009→ح ص ل:B001 ; ح ص ل:B001→ص د ر:B004 ; غ ي ر:B005→ج م ع:B009 ; ع د و:B004→غ ي ر:B005 ; ص ب ح:B010→ص د ر:B004 ; ج م ع:B009→ر ب ب:B001 ; ر ب ب:B001→ش د د:B001] | P0027[و ر ي:B005→ح ص ل:B001 ; ج م ع:B001→ح ص ل:B001 ; و ر ي:B005→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001 ; ء ن س:B006→ع ل م:B001 ; ع د و:B005→ء ن س:B006 ; ح ص ل:B001→ص د ر:B004 ; ص ب ح:B010→ص د ر:B004] | P0171[ء ن س:B002→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; و ر ي:B005→خ ب ر:B001 ; و ر ي:B005→ح ص ل:B001 ; ح ص ل:B001→ص د ر:B004 ; ص ب ح:B010→ص د ر:B004 ; ج م ع:B001→ح ص ل:B001 ; ج م ع:B001→ق ب ر:B002 ; ث و ر:B001→ق ب ر:B002] | P0468[ص ب ح:B010→ص د ر:B004 ; ح ص ل:B001→ص د ر:B004 ; ج م ع:B001→ح ص ل:B001 ; و ر ي:B005→ح ص ل:B001 ; و ر ي:B005→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ج م ع:B001→ك ن د:B001 ; ك ن د:B001→ح ب ب:B001]
47	PF0047	0.5154	gambling / earth / condition_force_change/control_restraint / burial	26	1,2,3,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ي ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع ل م ق ب ر ق د ح ك ن د ن ق ع و ر ي	ث و ر:B001@4:انبعاث الشيء وانتشاره ظاهرا | ج م ع:B008@5:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010@6,11:ربابة تجمع القداح | ق ب ر:B001@9:مواراة الميت في القبر | ن ق ع:B004@4:نقع الغبار المثار	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ح ب ب:B011@8:نار الحباحب شرر لا ينتفع به | ض ب ح:B003@1:إحراق أعالي العود | ق ب ر:B002@9:غموض الشيء وتطامنه | ق د ح:B005@2:غرف ما في القدر | ق د ح:B007@2:عود السهم والقدح في الميسر	P0484	P0484[ث و ر:B001→ن ق ع:B004 ; ن ق ع:B004→ج م ع:B008 ; ن ق ع:B004→ق ب ر:B001 ; ج م ع:B008→ر ب ب:B010 ; ب ع ث ر:B001→ق ب ر:B001 ; ب ع ث ر:B001→ح ص ل:B002 ; ق د ح:B007→ر ب ب:B010 ; ق د ح:B007→ص د ر:B002] | P0018[ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ق ب ر:B002 ; ث و ر:B001→ق ب ر:B002 ; ث و ر:B001→ن ق ع:B004 ; ن ق ع:B004→ج م ع:B008 ; ج م ع:B008→ر ب ب:B010 ; ض ب ح:B003→ح ب ب:B011 ; ح ب ب:B011→ح ص ل:B004 ; ص ب ح:B005→ح ب ب:B011] | P0150[ق د ح:B002→ق ب ر:B002 ; ث و ر:B001→ق ب ر:B002 ; ث و ر:B001→ن ق ع:B004 ; ن ق ع:B004→ج م ع:B008 ; ج م ع:B008→ر ب ب:B010 ; ض ب ح:B003→ق د ح:B002 ; ض ب ح:B003→خ ي ر:B006 ; خ ي ر:B006→ح ص ل:B005 ; ش ه د:B007→ح ص ل:B005] | P0629[ق د ح:B005→ر ب ب:B010 ; ج م ع:B008→ر ب ب:B010 ; ن ق ع:B004→ج م ع:B008 ; ث و ر:B001→ن ق ع:B004 ; ق د ح:B005→ص ب ح:B003 ; ص ب ح:B003→ح ب ب:B006 ; ث و ر:B001→ق ب ر:B002 ; ض ب ح:B003→ق د ح:B005]
48	PF0048	0.5141	knowledge / epistemology / report / evidence	30	1,2,3,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	ء ن س:B002@6:إيناس الشيء برؤية أو إحساس أو سماع | خ ب ر:B001@11:العلم بالخبر وباطن الأمر | ش ه د:B002@7:البيان بعلم | ع ل م:B001@9:انكشاف الشيء للعارف | و ر ي:B005@2:ستر الشيء وجعله وراء الظهور	ب ع ث ر:B002@9:تبديد المتاع وقلب بعضه على بعض | ج م ع:B001@5:ضم المتفرق حتى يصير شيئا مجموعا | ج م ع:B013@5:ممالأة واجتماع مع غيرك على أمر | ح ص ل:B001@10:جمع الشيء حتى يظهر حاصله | ر ب ب:B003@6,11:علم رباني | غ ي ر:B003@3:تغيير الصورة أو إبدال الشيء بغيره	P0417	P0417[غ ي ر:B003→ب ع ث ر:B002 ; ج م ع:B001→ب ع ث ر:B002 ; ج م ع:B001→ح ص ل:B001 ; و ر ي:B005→ح ص ل:B001 ; و ر ي:B005→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ء ن س:B002→ع ل م:B001] | P0062[و س ط:B006→ص د ر:B006 ; و س ط:B006→ك ن د:B001 ; ك ن د:B001→ح ب ب:B001 ; ح ب ب:B001→ب ع ث ر:B001 ; ث و ر:B002→ب ع ث ر:B001 ; و ر ي:B005→ب ع ث ر:B001 ; و ر ي:B005→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001] | P0258[ع د و:B005→ء ن س:B006 ; ء ن س:B006→ع ل م:B001 ; ع ل م:B001→خ ب ر:B001 ; ع د و:B005→ص د ر:B005 ; ج م ع:B013→ص د ر:B005 ; ش ه د:B002→خ ب ر:B001 ; ج م ع:B013→ب ع ث ر:B002 ; و ر ي:B005→خ ب ر:B001 ; غ ي ر:B004→ج م ع:B013] | P0046[و ر ي:B005→ح ص ل:B001 ; ج م ع:B001→ح ص ل:B001 ; و ر ي:B005→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001 ; ر ب ب:B003→ع ل م:B001 ; ج م ع:B001→ق ب ر:B002 ; ث و ر:B001→ق ب ر:B002 ; ث و ر:B001→ن ق ع:B004]
49	PF0049	0.5129	cattle / feast / extraction / slaughter	9	1,2,3,4,6,8,9,10,11	ب ع ث ر ث و ر ح ب ب ح ص ل خ ب ر ر ب ب ص ب ح ض ب ح ق ب ر ن ق ع و ر ي	ح ص ل:B002@10:استخراج اللب أو النفيس من غلافه | ر ب ب:B014@6,11:رَبْرَب قطيع | ص ب ح:B008@3:الناقة المصباح | ن ق ع:B003@4:نقيعة طعام أو نحر أو لبن	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ث و ر:B004@4:الثور: ذكر البقر | ح ب ب:B010@8:الحبحاب الصغير القصير | خ ب ر:B004@11:الغزر في المزادة والناقة | و ر ي:B004@2:شحم وار وسمن ظاهر	P1210	P1210[ن ق ع:B003→ح ص ل:B002 ; ب ع ث ر:B001→ح ص ل:B002 ; ث و ر:B002→ب ع ث ر:B001 ; ن ق ع:B003→ر ب ب:B014 ; ر ب ب:B014→ح ب ب:B010] | P1931[ص ب ح:B008→خ ب ر:B004 ; ص ب ح:B008→ح ب ب:B006 ; و ر ي:B004→خ ب ر:B004 ; ر ب ب:B006→ح ب ب:B006] | P2047[ص ب ح:B008→ن ق ع:B005 ; ص ب ح:B008→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ض ب ح:B001→ن ق ع:B005] | P0640[ن ق ع:B003→ر ب ب:B014 ; ر ب ب:B014→ح ب ب:B010 ; ص ب ح:B008→ح ب ب:B010 ; ص ب ح:B008→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ث و ر:B004→ر ب ب:B014 ; ن ق ع:B003→ح ص ل:B002 ; ب ع ث ر:B001→ح ص ل:B002]
