rank	path_id	path_score	label_hint	ayahs	roots	branch_chain
385	P0385	0.7678	ritual_belief/religion_worship / conflict_security/conflict / contract / religion	1,2,4,5,6,7	ء ل ه د ي ن ض ل ل ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B005:الهدي المهدى إلى الحرم | ق و م:B015:وزن سواء ومقدار معتدل | ن ع م:B012:المشي على القدم وابتذالها | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B001:الضلال عن الهدى والقصد
386	P0386	0.7677	care / repair / honor / governance	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م غ ي ر ق و م م ل ك ن ع م ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B008:الأنفة والغضب | ه د ي:B002:جهة الأمر وسيرته وقصده | ق و م:B004:رعاية وحفظ وولاية | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح
387	P0387	0.7677	conflict_security/conflict / resistance / praise / opposition	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B009:قلة اللبث وسرعة العدو | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B014:مقاومة ومنازلة | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B003:المراغمة والمخالفة
388	P0388	0.7675	honor / vision / inflammation / contract	1,2,3,4,5,6,7	د ي ن ر ح م س م و ع ب د ع ل م ع و ن غ ض ب ق و م م ل ك ن ع م	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B008:الأنفة والغضب | ع و ن:B001:الإعانة والمظاهرة | ق و م:B021:عين قائمة ذاهبة البصر | ن ع م:B013:نعم الله بك عينا وقرة العين | غ ض ب:B006:تورم العين وما حولها
389	P0389	0.7675	burial / disappearance / disease / captain	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع و ن ق و م م ل ك ه د ي	س م و:B003:تطاول الفحل على الشول | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B017:رباني الملاحين | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B009:الهداء البليد الضعيف | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B020:قوام في قوائم الشاة | ض ل ل:B002:الغيبوبة والخفاء
390	P0390	0.7674	cognition_perception/knowledge_learning / ritual_belief/religion_worship / religion / theology	1,2,4,5,6,7	ء ل ه د ي ن ر ب ب ض ل ل ع ب د ع ل م غ ض ب م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ر ب ب:B003:علم رباني | ع ل م:B001:انكشاف الشيء للعارف | م ل ك:B006:مَلَك الطريق والوادي | د ي ن:B007:التصديق والتفويض | ع ب د:B008:الأنفة والغضب | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ن ع م:B004:الجواب بنعم والتصديق | غ ض ب:B001:اشتداد السخط وثورانه للانتقام | ض ل ل:B001:الضلال عن الهدى والقصد
391	P0391	0.7674	settlement / city / opposition / comfort	1,2,4,5,6,7	ء ل ه ح م د د ي ن س م و ض ل ل ع ب د غ ض ب غ ي ر ق و م ن ع م	س م و:B007:المساماة والمباراة | ء ل ه:B001:التعبد والمعبود | ح م د:B002:وجود الشيء محمودا | د ي ن:B006:مدينة الطاعة | ع ب د:B006:التكريم والتعظيم | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B004:ضياع الحفظ
392	P0392	0.7674	ownership / conflict_security/conflict / virtue / reputation	1,2,3,4,5,6,7	ح م د د ي ن ر ب ب ر ح م س م و ع ب د ع و ن ق و م م ل ك ن ع م	س م و:B003:تطاول الفحل على الشول | ر ح م:B002:الرَّحِم والقرابة | ح م د:B003:المحمود كثير الخصال | ر ب ب:B011:ربابة عهد وميثاق | م ل ك:B002:المِلْك والتصرف | د ي ن:B004:الإذلال والملك | ع ب د:B001:الرق والملك | ع و ن:B003:الحرب العَوان | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم
393	P0393	0.7673	praise / care / reputation / governance	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ص ر ط ع ب د ع و ن ق و م م ل ك ن ع م ه د ي	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B002:جهة الأمر وسيرته وقصده | ص ر ط:B003:السيف القاطع الماضي في الضربة | ق و م:B004:رعاية وحفظ وولاية | ن ع م:B001:حسن الحال والنعمة
394	P0394	0.7672	benefaction / commitment / favor / opposition	1,2,4,5,6,7	ح م د د ي ن ر ب ب س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م	س م و:B007:المساماة والمباراة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B001:الإعانة والمظاهرة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B003:مدح الشيء بنعم | غ ض ب:B003:المراغمة والمخالفة
395	P0395	0.7672	welfare / firmness / blessing / kinship_society/hospitality_welfare	1,2,3,4,5,7	ح م د ر ب ب ر ح م س م و ض ل ل ع ب د ع ل م م ل ك ن ع م	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B002:وجود الشيء محمودا | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ن ع م:B001:حسن الحال والنعمة | ض ل ل:B003:فقدان الشيء
396	P0396	0.7669	submission / herd / goal / tool	1,2,4,5,6,7	ح م د د ي ن ر ب ب س م و ع ب د ع و ن ق و م م ل ك ن ع م ه د ي	س م و:B006:الخروج للصيد | ح م د:B004:حماداك الغاية المحمودة | ر ب ب:B014:رَبْرَب قطيع | م ل ك:B008:المتقدم القائد في الحيوان | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ع و ن:B006:العانة قطيع الحمر | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B012:آلة قائمة وجزء قائم | ن ع م:B007:ما سمي نعامة تشبيها بالهيئة
397	P0397	0.7669	tool / leader / vitality / leadership	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B006:الخروج للصيد | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B009:شاة رُبّى وحداثة | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B012:آلة قائمة وجزء قائم | ن ع م:B007:ما سمي نعامة تشبيها بالهيئة | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
398	P0398	0.7669	demand / leader / opposition / leadership	1,2,4,5,6,7	ر ب ب س م و ص ر ط ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B007:المساماة والمباراة | ر ب ب:B017:رباني الملاحين | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ص ر ط:B003:السيف القاطع الماضي في الضربة | ق و م:B018:نفاق السوق | ن ع م:B008:طيران النعامة وتفرق القوم | غ ض ب:B003:المراغمة والمخالفة
399	P0399	0.7669	leader / body_health_life/reproduction_birth / leadership / bird	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م ع ب د ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ر ح م:B003:رَحِم الأنثى | ر ب ب:B009:شاة رُبّى وحداثة | م ل ك:B008:المتقدم القائد في الحيوان | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B002:انتصاب وقيام بالبدن | ن ع م:B006:النعام والنعامة الطائر
400	P0400	0.7667	governance / dominion / hierarchy / opposition	1,2,4,5,6,7	ء ل ه ر ب ب س م و ض ل ل ع ب د غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B007:المساماة والمباراة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B001:ربوبية وملك وسيادة | م ل ك:B003:المُلك والسلطان | ع ب د:B001:الرق والملك | ه د ي:B002:جهة الأمر وسيرته وقصده | ق و م:B004:رعاية وحفظ وولاية | ن ع م:B005:مال الأنعام والإبل | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B005:الضالّة في المضيعة
401	P0401	0.7667	commitment / conflict_security/conflict / memory / support	1,2,4,5,6,7	ء ل ه ر ب ب س م و ص ر ط ض ل ل ع و ن غ ض ب غ ي ر ق و م م ل ك	س م و:B005:الاسم تنويه ودلالة | ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B001:ربوبية وملك وسيادة | م ل ك:B005:مِلاك الأمر وعِماده | ع و ن:B001:الإعانة والمظاهرة | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B003:عزم ونهوض إلى الأمر | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B004:ضياع الحفظ
402	P0402	0.7667	disease / law_governance/justice_judgment / judgment / captain	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م س م و ع ب د غ ي ر ق و م م ل ك ن ع م ه د ي	س م و:B003:تطاول الفحل على الشول | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B017:رباني الملاحين | م ل ك:B008:المتقدم القائد في الحيوان | د ي ن:B002:الحساب والجزاء | ع ب د:B012:صَلاءة الطيب | ه د ي:B007:هدي الحرمة والأسير | ق و م:B020:قوام في قوائم الشاة | ن ع م:B008:طيران النعامة وتفرق القوم | غ ي ر:B002:الغَيْر في الدية
403	P0403	0.7665	conflict_security/conflict / ritual_belief/religion_worship / opposition / submission	1,2,4,5,6,7	ء ل ه ح م د د ي ن س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م	س م و:B007:المساماة والمباراة | ء ل ه:B001:التعبد والمعبود | ح م د:B004:حماداك الغاية المحمودة | م ل ك:B005:مِلاك الأمر وعِماده | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ع و ن:B003:الحرب العَوان | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم | غ ض ب:B003:المراغمة والمخالفة
404	P0404	0.7665	ritual_belief/religion_worship / submission / devotion / worship	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م ع ب د ع و ن ق و م م ل ك ن ع م	ء ل ه:B001:التعبد والمعبود | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B004:حماداك الغاية المحمودة | ر ب ب:B015:حرف رب وربما | م ل ك:B005:مِلاك الأمر وعِماده | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ع و ن:B001:الإعانة والمظاهرة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B003:مدح الشيء بنعم
405	P0405	0.7665	covenant / contract / bird / family	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م ع ل م ع و ن غ ي ر ق و م م ل ك ن ع م ه د ي	ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B006:طائر جارح يسمى العلام | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B007:هدي الحرمة والأسير | ق و م:B010:قيمة وتقويم وتسعير | ن ع م:B006:النعام والنعامة الطائر | غ ي ر:B002:الغَيْر في الدية
406	P0406	0.7664	residence / stay / opposition / comfort	1,2,4,5,6,7	ء ل ه ح م د ر ب ب س م و ض ل ل ع ب د غ ض ب ق و م م ل ك ن ع م	س م و:B007:المساماة والمباراة | ء ل ه:B001:التعبد والمعبود | ح م د:B002:وجود الشيء محمودا | ر ب ب:B007:لزوم وإقامة ودوام | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B006:التكريم والتعظيم | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B003:فقدان الشيء
407	P0407	0.7664	praise / reputation / governance / captain	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م ع و ن ق و م م ل ك ن ع م ه د ي	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B017:رباني الملاحين | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B002:جهة الأمر وسيرته وقصده | ق و م:B004:رعاية وحفظ وولاية | ن ع م:B001:حسن الحال والنعمة
408	P0408	0.7662	ritual_belief/religion_worship / submission / devotion / herd	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م ع ب د ع و ن غ ي ر ق و م م ل ك ه د ي	ء ل ه:B001:التعبد والمعبود | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B014:رَبْرَب قطيع | م ل ك:B008:المتقدم القائد في الحيوان | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ع و ن:B006:العانة قطيع الحمر | ه د ي:B007:هدي الحرمة والأسير | ق و م:B020:قوام في قوائم الشاة | غ ي ر:B002:الغَيْر في الدية
409	P0409	0.7662	substitution / praise / ethics / reputation	1,2,3,5,6,7	ر ب ب ر ح م س م و ص ر ط ع ب د ع و ن غ ي ر ق و م ن ع م ه د ي	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ه د ي:B010:هدي السكون وحسن الهيئة | ص ر ط:B003:السيف القاطع الماضي في الضربة | ق و م:B007:نيابة وقيام مقام غيره | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B005:السوى والخلاف والاستثناء والنفي
410	P0410	0.7662	kinship_society/hospitality_welfare / benefaction / commitment / favor	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B007:القوة والصلابة | ع و ن:B008:النسبة إلى عانة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
411	P0411	0.7661	submission / residence / goal / stay	1,2,4,5,6,7	ح م د د ي ن ر ب ب س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م	س م و:B007:المساماة والمباراة | ح م د:B004:حماداك الغاية المحمودة | ر ب ب:B007:لزوم وإقامة ودوام | م ل ك:B005:مِلاك الأمر وعِماده | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ع و ن:B001:الإعانة والمظاهرة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B003:المراغمة والمخالفة
412	P0412	0.7661	kinship_society/hospitality_welfare / inflammation / benefaction / leader	1,2,3,4,5,6,7	ء ل ه ح م د ر ب ب ر ح م ع ب د غ ض ب ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B008:الأنفة والغضب | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B002:انتصاب وقيام بالبدن | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B006:تورم العين وما حولها
413	P0413	0.7661	commitment / opposition / conflict_security/conflict / grammar	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B007:المساماة والمباراة | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B015:حرف رب وربما | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B009:قلة اللبث وسرعة العدو | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B010:هدي السكون وحسن الهيئة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B010:زاد وأنعم في الفعل | غ ض ب:B003:المراغمة والمخالفة
414	P0414	0.7661	ritual_belief/religion_worship / contract / posture / religion	1,2,3,4,5,6,7	ء ل ه د ي ن ر ح م ض ل ل ع ب د غ ض ب ق و م م ل ك ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ر ح م:B003:رَحِم الأنثى | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ه د ي:B005:الهدي المهدى إلى الحرم | ق و م:B002:انتصاب وقيام بالبدن | ن ع م:B012:المشي على القدم وابتذالها | غ ض ب:B001:اشتداد السخط وثورانه للانتقام | ض ل ل:B001:الضلال عن الهدى والقصد
415	P0415	0.766	enslavement / subjugation / substitution / coercion	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م س م و ع ب د ع ل م غ ي ر ق و م ن ع م	س م و:B001:العلو والارتفاع | ء ل ه:B001:التعبد والمعبود | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B002:أثر يميز الشيء ويهدي إليه | د ي ن:B004:الإذلال والملك | ع ب د:B004:التعبيد والاستعباد | ق و م:B007:نيابة وقيام مقام غيره | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B005:السوى والخلاف والاستثناء والنفي
416	P0416	0.766	honor / blessing / gratitude / firmness	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B001:الحمد خلاف الذم | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B004:شق ظاهر في الشفة العليا | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ق و م:B021:عين قائمة ذاهبة البصر | ن ع م:B013:نعم الله بك عينا وقرة العين | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
417	P0417	0.766	pillar / inflammation / foundation / comfort	1,2,3,4,5,6,7	ء ل ه ر ب ب ر ح م س م و ع ب د ع ل م غ ض ب ق و م م ل ك ن ع م	س م و:B001:العلو والارتفاع | ء ل ه:B001:التعبد والمعبود | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B008:الأنفة والغضب | ق و م:B009:قوام وعماد ومعاش | ن ع م:B002:اللين والنعومة ورفاه العيش | غ ض ب:B006:تورم العين وما حولها
418	P0418	0.7659	conflict_security/conflict / virtue / contract / reputation	1,2,4,5,6,7	ح م د د ي ن س م و ص ر ط ض ل ل ع ب د ع و ن ق و م م ل ك ن ع م	س م و:B003:تطاول الفحل على الشول | ح م د:B003:المحمود كثير الخصال | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B003:الحرب العَوان | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم | ض ل ل:B004:ضياع الحفظ
419	P0419	0.7659	marriage / contract / tribe / honor	1,2,4,5,6,7	ء ل ه د ي ن ر ب ب ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ه د ي	ء ل ه:B001:التعبد والمعبود | ر ب ب:B004:ربة وجماعات كثيرة | ع ل م:B005:ماء كثير مجتمع في عيلم | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ه د ي:B006:العروس المهدية إلى زوجها | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
420	P0420	0.7659	leader / burial / leadership / anger	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م ض ل ل ع ب د غ ض ب ق و م م ل ك ن ع م ه د ي	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B002:وجود الشيء محمودا | ر ب ب:B002:إصلاح وتربية وإتمام | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B008:الأنفة والغضب | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B002:انتصاب وقيام بالبدن | ن ع م:B001:حسن الحال والنعمة | غ ض ب:B002:الغضب لشخص حي أو به بعد موته | ض ل ل:B002:الغيبوبة والخفاء
421	P0421	0.7659	honor / benefaction / favor / firmness	1,2,3,4,5,6,7	ح م د ر ب ب ر ح م س م و ع ب د ع ل م غ ض ب ق و م م ل ك ن ع م	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | ق و م:B019:وجع قائم بالعضو | ن ع م:B013:نعم الله بك عينا وقرة العين | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
422	P0422	0.7659	kinship_society/hospitality_welfare / demand / benefaction / praise	1,2,3,5,6,7	ح م د ر ب ب ر ح م س م و ص ر ط ع ب د ع و ن ق و م ن ع م	س م و:B008:الصيت الحسن المنتشر | ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ص ر ط:B003:السيف القاطع الماضي في الضربة | ق و م:B018:نفاق السوق | ن ع م:B001:حسن الحال والنعمة
423	P0423	0.7658	family / fatigue / honor / marriage	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع ل م ع و ن غ ي ر ق و م م ل ك ه د ي	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B004:شق ظاهر في الشفة العليا | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B011:العطب والانقطاع | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B006:العروس المهدية إلى زوجها | ق و م:B016:جمود ووقوف وكلال | غ ي ر:B004:الغَيْرة على الأهل
424	P0424	0.7657	opposition / conflict_security/conflict / enslavement / competition	1,2,4,5,6,7	ء ل ه ح م د د ي ن س م و ع ب د ع و ن غ ض ب غ ي ر ق و م ن ع م	س م و:B007:المساماة والمباراة | ء ل ه:B001:التعبد والمعبود | ح م د:B003:المحمود كثير الخصال | د ي ن:B004:الإذلال والملك | ع ب د:B004:التعبيد والاستعباد | ع و ن:B003:الحرب العَوان | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم | غ ي ر:B005:السوى والخلاف والاستثناء والنفي | غ ض ب:B003:المراغمة والمخالفة
425	P0425	0.7657	inflammation / care / honor / governance	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع ب د ع ل م غ ض ب غ ي ر ق و م م ل ك ه د ي	س م و:B001:العلو والارتفاع | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B006:رُبّ خاثر وإصلاح به | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B002:المِلْك والتصرف | ع ب د:B008:الأنفة والغضب | ه د ي:B002:جهة الأمر وسيرته وقصده | ق و م:B004:رعاية وحفظ وولاية | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | غ ض ب:B006:تورم العين وما حولها
426	P0426	0.7657	body_health_life/reproduction_birth / disease / movement / dullard	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ص ر ط ع ب د غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B003:تطاول الفحل على الشول | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B009:شاة رُبّى وحداثة | م ل ك:B008:المتقدم القائد في الحيوان | ع ب د:B010:التفرق في الوجوه | ه د ي:B009:الهداء البليد الضعيف | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B020:قوام في قوائم الشاة | ن ع م:B008:طيران النعامة وتفرق القوم | غ ض ب:B005:غلظ الجسم وشدة الحمرة
427	P0427	0.7657	commitment / grammar / contract / adoration	1,2,3,4,5,6,7	ء ل ه د ي ن ر ب ب ر ح م ع ب د ع و ن ق و م م ل ك ن ع م	ء ل ه:B001:التعبد والمعبود | ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B015:حرف رب وربما | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ع و ن:B001:الإعانة والمظاهرة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B003:مدح الشيء بنعم
428	P0428	0.7655	submission / goal / commitment / devotion	1,2,3,4,5,6,7	ح م د د ي ن ر ب ب ر ح م س م و ع ب د ع و ن ق و م م ل ك ن ع م	س م و:B004:السماء وما علا فأظل | ر ح م:B002:الرَّحِم والقرابة | ح م د:B004:حماداك الغاية المحمودة | ر ب ب:B008:رباب السحاب | م ل ك:B005:مِلاك الأمر وعِماده | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ع و ن:B008:النسبة إلى عانة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B010:زاد وأنعم في الفعل
