rank	path_id	path_score	label_hint	ayahs	roots	branch_chain
218	P0218	0.7761	top / gambling / rest / sleep	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع ح ب ب ر ب ب ص ب ح ص د ر ض ب ح ق د ح ن ق ع و ر ي	ض ب ح:B003:إحراق أعالي العود | و ر ي:B008:الورى: الخلق على ظهر الأرض | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B007:الصُّبْحة نوما | ن ق ع:B001:استقرار الماء وما ينقع فيه | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ح ب ب:B008:حباب الماء فقاقيعه وطرائقه | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول
219	P0219	0.776	animal_life/wildlife / ornithology / quality / honor	1,2,3,4,5,6,8,9,11	ث و ر ح ب ب خ ب ر ر ب ب ع د و ع ل م غ ي ر ق ب ر و ر ي و س ط	ع د و:B011:العَدَوِيّة من نبات الصيف | و ر ي:B006:الجانب الوراء: خلف أو أمام أو سوى | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B006:ثور اسما لمكان أو قوم أو برج | و س ط:B004:مرتبة وسطى بين الجيد والرديء | ر ب ب:B008:رباب السحاب | ح ب ب:B005:البعير يلزم مكانه من عجز | ع ل م:B006:طائر جارح يسمى العلام | ق ب ر:B003:القُبَّرة الطائر | خ ب ر:B005:اللِّين في النبات والوبر والزبد
220	P0220	0.776	drink / quenching / selection / excellence	1,2,3,4,5,6,8,11	ح ب ب خ ي ر ر ب ب ص ب ح ض ب ح غ ي ر ق د ح ن ق ع و ر ي و س ط	ض ب ح:B003:إحراق أعالي العود | و ر ي:B001:داء يأكل الجوف أو يصيب الرئة | ق د ح:B005:غرف ما في القدر | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ص ب ح:B003:الصبوح | ن ق ع:B002:ماء ينقع الغلة ويروي | و س ط:B001:العدل والخيار في موضع الوسط | ر ب ب:B006:رُبّ خاثر وإصلاح به | ح ب ب:B006:الري حتى الامتلاء | خ ي ر:B002:فضل الصلاح والاصطفاء
221	P0221	0.7758	water / quenching / benefit / welfare	1,2,3,4,5,6,8,11	ث و ر ج م ع ح ب ب خ ب ر خ ي ر ر ب ب ع د و غ ي ر ن ق ع و ر ي	ع د و:B010:العَدْواء في صلابة المكان واضطرابه | و ر ي:B001:داء يأكل الجوف أو يصيب الرئة | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ث و ر:B003:هيجان إلى مواجهة أو غضب | ن ق ع:B002:ماء ينقع الغلة ويروي | ج م ع:B010:استجماع القوة أو السير حتى تتلاحق أجزاؤه | ر ب ب:B006:رُبّ خاثر وإصلاح به | ح ب ب:B006:الري حتى الامتلاء | خ ي ر:B001:الميل إلى الخير النافع | خ ب ر:B002:لين الأرض ومائها
222	P0222	0.7757	top / stick / sweetness / date	1,2,5,6,7,8,9,10,11	ب ع ث ر ج م ع ح ص ل خ ي ر ر ب ب ش ه د ص د ر ض ب ح ع د و ق د ح	ع د و:B011:العَدَوِيّة من نبات الصيف | ض ب ح:B003:إحراق أعالي العود | ق د ح:B007:عود السهم والقدح في الميسر | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B007:الشَّهْد في الشمع | خ ي ر:B006:استدراج الحيوان من جحره | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده | ص د ر:B002:المقدّم والأعلى والأول
223	P0223	0.7757	division / solid / gambling / cutting	1,2,4,5,6,8,9,10,11	ث و ر ج م ع ر ب ب ش د د ص د ر ض ب ح ق ب ر ق د ح ك ن د و س ط	ض ب ح:B003:إحراق أعالي العود | ق د ح:B002:نقر الشيء وعيبه | ث و ر:B005:ثورة الأقط: قطعة جامدة | و س ط:B006:قطع الشيء نصفين | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ك ن د:B001:القطع والانفصال | ش د د:B002:شدة القوة والصلابة | ق ب ر:B002:غموض الشيء وتطامنه | ص د ر:B006:الطائفة من الشيء
224	P0224	0.7757	aggregation / burial / result / exception	1,3,4,5,6,7,9,10,11	ب ع ث ر ث و ر ج م ع ح ص ل ر ب ب ش ه د ع د و ع ل م غ ي ر ق ب ر	ع د و:B004:المجاوزة والاستثناء والصرف | غ ي ر:B005:السوى والخلاف والاستثناء والنفي | ث و ر:B002:إثارة الشيء وتحريكه من موضعه | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ر ب ب:B015:حرف رب وربما | ش ه د:B008:العلامة الشاهدة | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ب ع ث ر:B001:قلب التراب وكشف المدفون | ق ب ر:B001:مواراة الميت في القبر | ح ص ل:B001:جمع الشيء حتى يظهر حاصله
225	P0225	0.7756	botany / residue / date / blood	1,2,4,5,6,7,8,9,10,11	ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ض ب ح ع ل م ق د ح ن ق ع	ض ب ح:B005:الرماد | ق د ح:B009:رخص أطراف النبت | ن ق ع:B003:نقيعة طعام أو نحر أو لبن | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B006:الخارج عند الولادة والإدراك | ح ب ب:B005:البعير يلزم مكانه من عجز | ع ل م:B007:ذكر الضباع يسمى العيلام | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده | خ ب ر:B005:اللِّين في النبات والوبر والزبد
226	P0226	0.7755	division / solid / knot / residue	2,4,5,6,8,10,11	ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش د د ك ن د و ر ي و س ط	و ر ي:B004:شحم وار وسمن ظاهر | ث و ر:B005:ثورة الأقط: قطعة جامدة | و س ط:B006:قطع الشيء نصفين | ج م ع:B012:عظم الشيء كأنه جامع ممتلئ | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ك ن د:B001:القطع والانفصال | ح ب ب:B001:الحبة التي تنبت وتحمل الحب | ش د د:B001:شد العقد والوثاق | ح ص ل:B003:البقية والحثالة بعد الرفع أو الفصل | خ ب ر:B004:الغزر في المزادة والناقة
227	P0227	0.7753	presence / rest / sleep / anger	1,2,3,4,5,6,7,9,11	ج م ع خ ب ر ش ه د ص ب ح ع د و ق ب ر ك ن د ن ق ع و ر ي و س ط	ع د و:B010:العَدْواء في صلابة المكان واضطرابه | و ر ي:B008:الورى: الخلق على ظهر الأرض | ص ب ح:B007:الصُّبْحة نوما | ن ق ع:B007:نقاع الأرض القيعان السهلة | و س ط:B002:موضع الوسط بين الأطراف | ج م ع:B004:موضع أو يوم أو نداء يجمع الناس | ك ن د:B003:الأرض التي لا تنبت | ش ه د:B001:الحضور مع المشاهدة | ق ب ر:B004:طرف الأنف في الغضب | خ ب ر:B003:إصلاح الأرض بالمخابرة
228	P0228	0.7753	experience / alliance / blood / fruit	1,2,3,4,5,6,7,8,9,10,11	ب ع ث ر ج م ع ح ب ب ح ص ل ر ب ب ش ه د ع د و غ ي ر ق د ح ن ق ع	ع د و:B006:العَدْوى في انتقال الداء | ق د ح:B010:اقتداح الأمر بالنظر والتدبير | غ ي ر:B002:الغَيْر في الدية | ن ق ع:B008:شراب بأنقع مجرب للموارد | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B009:شاة رُبّى وحداثة | ش ه د:B006:الخارج عند الولادة والإدراك | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
229	P0229	0.7752	benefit / epistemology / drink / welfare	2,3,4,5,6,8,9,11	ث و ر ج م ع ح ب ب خ ب ر خ ي ر ر ب ب ص ب ح ع ل م غ ي ر و ر ي	و ر ي:B005:ستر الشيء وجعله وراء الظهور | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ص ب ح:B003:الصبوح | ث و ر:B003:هيجان إلى مواجهة أو غضب | ج م ع:B010:استجماع القوة أو السير حتى تتلاحق أجزاؤه | ر ب ب:B006:رُبّ خاثر وإصلاح به | ح ب ب:B006:الري حتى الامتلاء | خ ي ر:B001:الميل إلى الخير النافع | ع ل م:B001:انكشاف الشيء للعارف | خ ب ر:B001:العلم بالخبر وباطن الأمر
230	P0230	0.7751	exception / exclusion / logic / alliance	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع ح ب ب ر ب ب ص د ر ع د و غ ي ر ق د ح ن ق ع و ر ي	ع د و:B004:المجاوزة والاستثناء والصرف | و ر ي:B007:ولد الولد يأتي من وراء الابن | ق د ح:B003:طعن في النسب | غ ي ر:B005:السوى والخلاف والاستثناء والنفي | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B005:ربيب وربيبة ورابة | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B003:الصُّدور عن المورد
231	P0231	0.7751	solid / portion / capacity / fullness	1,2,3,4,5,6,8,10,11	ث و ر ج م ع ح ب ب خ ب ر ر ب ب ص ب ح ص د ر ع د و ن ق ع و ر ي	ع د و:B001:مجاوزة الحد والظلم | و ر ي:B004:شحم وار وسمن ظاهر | ص ب ح:B008:الناقة المصباح | ث و ر:B005:ثورة الأقط: قطعة جامدة | ن ق ع:B003:نقيعة طعام أو نحر أو لبن | ج م ع:B012:عظم الشيء كأنه جامع ممتلئ | ر ب ب:B014:رَبْرَب قطيع | ح ب ب:B010:الحبحاب الصغير القصير | ص د ر:B006:الطائفة من الشيء | خ ب ر:B004:الغزر في المزادة والناقة
232	P0232	0.775	exception / exclusion / selection / logic	1,2,3,4,5,6,8,9,11	ب ع ث ر ج م ع خ ي ر ر ب ب ع د و غ ي ر ق ب ر ق د ح ن ق ع و ر ي	ع د و:B004:المجاوزة والاستثناء والصرف | و ر ي:B003:زند يقدح نجاحا أو نصرة | ق د ح:B003:طعن في النسب | غ ي ر:B005:السوى والخلاف والاستثناء والنفي | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B004:ربة وجماعات كثيرة | خ ي ر:B003:طلب الخير بالاختيار والاستخارة | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B004:طرف الأنف في الغضب
233	P0233	0.775	selection / quality / mediocrity / grade	3,5,6,8,11	خ ي ر ر ب ب غ ي ر و س ط	غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | و س ط:B004:مرتبة وسطى بين الجيد والرديء | ر ب ب:B006:رُبّ خاثر وإصلاح به | خ ي ر:B002:فضل الصلاح والاصطفاء
234	P0234	0.7749	aggregation / result / origin / grammar	2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل ر ب ب ص ب ح ص د ر ع ل م و ر ي	و ر ي:B005:ستر الشيء وجعله وراء الظهور | ص ب ح:B010:أصبح بمعنى صار | ث و ر:B002:إثارة الشيء وتحريكه من موضعه | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ر ب ب:B007:لزوم وإقامة ودوام | ح ب ب:B005:البعير يلزم مكانه من عجز | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ب ع ث ر:B001:قلب التراب وكشف المدفون | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | ص د ر:B004:الأصل الذي تصدر عنه الأفعال
235	P0235	0.7748	fire / spark / light / energy	1,2,3,5,6,7,8,10,11	ج م ع ح ب ب ح ص ل خ ي ر ر ب ب ش ه د ص ب ح ض ب ح ق د ح و ر ي	ض ب ح:B003:إحراق أعالي العود | و ر ي:B002:نار كامنة تخرج من الزند | ق د ح:B001:إيراء النار بالقدح | ص ب ح:B005:المصباح والسراج | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B009:شاة رُبّى وحداثة | ش ه د:B006:الخارج عند الولادة والإدراك | ح ب ب:B011:نار الحباحب شرر لا ينتفع به | خ ي ر:B006:استدراج الحيوان من جحره | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
236	P0236	0.7746	aggregation / result / selection / quality	2,3,4,5,6,8,9,10,11	ث و ر ج م ع ح ب ب ح ص ل خ ي ر ر ب ب ع ل م غ ي ر و ر ي و س ط	و ر ي:B001:داء يأكل الجوف أو يصيب الرئة | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح | ث و ر:B002:إثارة الشيء وتحريكه من موضعه | و س ط:B004:مرتبة وسطى بين الجيد والرديء | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ر ب ب:B006:رُبّ خاثر وإصلاح به | ح ب ب:B006:الري حتى الامتلاء | خ ي ر:B002:فضل الصلاح والاصطفاء | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ح ص ل:B001:جمع الشيء حتى يظهر حاصله
237	P0237	0.7744	knowledge / awareness / report / epistemology	2,3,4,5,6,7,9,11	ء ن س ب ع ث ر ج م ع خ ب ر ش ه د ع ل م غ ي ر ق د ح ن ق ع و ر ي	و ر ي:B005:ستر الشيء وجعله وراء الظهور | ق د ح:B003:طعن في النسب | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ء ن س:B002:إيناس الشيء برؤية أو إحساس أو سماع | ش ه د:B002:البيان بعلم | ع ل م:B001:انكشاف الشيء للعارف | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | خ ب ر:B001:العلم بالخبر وباطن الأمر
238	P0238	0.7744	knowledge / cognition_perception/knowledge_learning / aggregation / result	2,4,5,6,7,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ص ل خ ب ر ر ب ب ش ه د ع ل م و ر ي	و ر ي:B005:ستر الشيء وجعله وراء الظهور | ث و ر:B002:إثارة الشيء وتحريكه من موضعه | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ء ن س:B002:إيناس الشيء برؤية أو إحساس أو سماع | ر ب ب:B003:علم رباني | ش ه د:B002:البيان بعلم | ع ل م:B001:انكشاف الشيء للعارف | ب ع ث ر:B001:قلب التراب وكشف المدفون | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | خ ب ر:B001:العلم بالخبر وباطن الأمر
239	P0239	0.7744	attack / top / rest / sleep	1,2,3,4,5,8,9,10,11	ب ع ث ر ج م ع خ ب ر ش د د ص ب ح ص د ر ض ب ح ق ب ر ن ق ع و ر ي	ض ب ح:B001:صوت الضباح | و ر ي:B008:الورى: الخلق على ظهر الأرض | ص ب ح:B007:الصُّبْحة نوما | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B005:قبضة الكف إذا ضمت الأصابع | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ق ب ر:B004:طرف الأنف في الغضب | ص د ر:B002:المقدّم والأعلى والأول | خ ب ر:B003:إصلاح الأرض بالمخابرة
240	P0240	0.7743	aggregation / knowledge / result / cattle	2,4,5,6,7,8,9,10,11	ء ن س ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ع ل م و ر ي	و ر ي:B005:ستر الشيء وجعله وراء الظهور | ث و ر:B004:الثور: ذكر البقر | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ء ن س:B003:الأنس الذي يزيل الوحشة | ر ب ب:B014:رَبْرَب قطيع | ش ه د:B002:البيان بعلم | ح ب ب:B002:المحبة الملازمة للقلب | ع ل م:B001:انكشاف الشيء للعارف | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | خ ب ر:B001:العلم بالخبر وباطن الأمر
241	P0241	0.7741	center / alliance / anger / body_health_life/anatomy	2,3,4,5,6,8,9,11	ب ع ث ر ج م ع ح ب ب ر ب ب غ ي ر ق ب ر ق د ح ن ق ع و س ط	ق د ح:B003:طعن في النسب | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ن ق ع:B009:نقعه بالشتم القبيح | و س ط:B002:موضع الوسط بين الأطراف | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B004:ربة وجماعات كثيرة | ح ب ب:B004:حبة القلب سويداؤه | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B004:طرف الأنف في الغضب
242	P0242	0.7741	tribe / animal_life/wildlife / ornithology / alliance	2,3,4,5,6,9,11	ب ع ث ر ث و ر ج م ع ر ب ب ع ل م غ ي ر ق ب ر ق د ح ك ن د	ق د ح:B010:اقتداح الأمر بالنظر والتدبير | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B006:ثور اسما لمكان أو قوم أو برج | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B004:ربة وجماعات كثيرة | ك ن د:B004:اسم كندة | ع ل م:B006:طائر جارح يسمى العلام | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ق ب ر:B003:القُبَّرة الطائر
243	P0243	0.774	aggregation / division / result / knot	4,5,6,7,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ص ل ر ب ب ش د د ش ه د ع ل م ك ن د و س ط	ث و ر:B002:إثارة الشيء وتحريكه من موضعه | و س ط:B006:قطع الشيء نصفين | ج م ع:B001:ضم المتفرق حتى يصير شيئا مجموعا | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ك ن د:B001:القطع والانفصال | ش ه د:B008:العلامة الشاهدة | ش د د:B001:شد العقد والوثاق | ع ل م:B002:أثر يميز الشيء ويهدي إليه | ب ع ث ر:B001:قلب التراب وكشف المدفون | ح ص ل:B001:جمع الشيء حتى يظهر حاصله
244	P0244	0.774	alliance / soil / honor / protectiveness	1,2,3,4,5,6,8,9,11	ب ع ث ر ج م ع ح ب ب ر ب ب ع د و ع ل م غ ي ر ق د ح ك ن د ن ق ع	ع د و:B010:العَدْواء في صلابة المكان واضطرابه | ق د ح:B010:اقتداح الأمر بالنظر والتدبير | غ ي ر:B004:الغَيْرة على الأهل | ن ق ع:B007:نقاع الأرض القيعان السهلة | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B007:لزوم وإقامة ودوام | ك ن د:B003:الأرض التي لا تنبت | ح ب ب:B005:البعير يلزم مكانه من عجز | ع ل م:B004:شق ظاهر في الشفة العليا | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض
245	P0245	0.7739	cattle / alliance / honor / kinship_society/social_relations	2,3,4,5,6,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ر ب ب ص د ر غ ي ر ق د ح ن ق ع	ق د ح:B003:طعن في النسب | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B004:الثور: ذكر البقر | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ء ن س:B003:الأنس الذي يزيل الوحشة | ر ب ب:B014:رَبْرَب قطيع | ح ب ب:B002:المحبة الملازمة للقلب | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B001:الصدر الجارحة وما يتصل بها
246	P0246	0.7739	knowledge / result / cognition_perception/knowledge_learning / report	1,2,3,5,6,7,8,9,10,11	ج م ع ح ص ل خ ب ر ر ب ب ش د د ش ه د ع د و ع ل م غ ي ر و ر ي	ع د و:B003:العَدُوّ والعداوة | و ر ي:B005:ستر الشيء وجعله وراء الظهور | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ج م ع:B009:اكتمال الشيء كله بلا تفرق أو نقص | ر ب ب:B003:علم رباني | ش ه د:B002:البيان بعلم | ش د د:B003:شد الحملة والعدو | ع ل م:B001:انكشاف الشيء للعارف | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | خ ب ر:B001:العلم بالخبر وباطن الأمر
247	P0247	0.7739	solid / storage / container / gambling	2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب خ ب ر ر ب ب ص ب ح ص د ر ق د ح و ر ي	و ر ي:B008:الورى: الخلق على ظهر الأرض | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B007:الصُّبْحة نوما | ث و ر:B005:ثورة الأقط: قطعة جامدة | ج م ع:B012:عظم الشيء كأنه جامع ممتلئ | ر ب ب:B010:ربابة تجمع القداح | ح ب ب:B007:الحب جرة عظيمة أو موضعها | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول | خ ب ر:B003:إصلاح الأرض بالمخابرة
248	P0248	0.7738	knowledge / result / report / epistemology	1,2,4,5,6,7,9,10,11	ء ن س ج م ع ح ص ل خ ب ر ش ه د ع د و ع ل م ق ب ر ن ق ع و ر ي	ع د و:B005:العَدْوى في طلب الإنصاف | و ر ي:B005:ستر الشيء وجعله وراء الظهور | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B009:اكتمال الشيء كله بلا تفرق أو نقص | ء ن س:B006:ابن الإنس للنفس والصفوة | ش ه د:B002:البيان بعلم | ع ل م:B001:انكشاف الشيء للعارف | ق ب ر:B004:طرف الأنف في الغضب | ح ص ل:B001:جمع الشيء حتى يظهر حاصله | خ ب ر:B001:العلم بالخبر وباطن الأمر
249	P0249	0.7738	sweetness / alliance / honor / surface	1,2,3,4,5,6,7,8,9,10,11	ب ع ث ر ث و ر ج م ع ر ب ب ش د د ش ه د ص د ر ع د و غ ي ر و ر ي	ع د و:B012:العَنْدَأْوَة في الالتواء والعسر | و ر ي:B007:ولد الولد يأتي من وراء الابن | غ ي ر:B004:الغَيْرة على الأهل | ث و ر:B007:ثور الماء: طحلب يعلو السطح | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ر ب ب:B005:ربيب وربيبة ورابة | ش ه د:B007:الشَّهْد في الشمع | ش د د:B006:شدة البخل | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B003:الصُّدور عن المورد
250	P0250	0.7738	plant / botany / date / blood	1,2,5,6,7,8,9,10,11	ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ص د ر ع د و ع ل م و ر ي	ع د و:B011:العَدَوِيّة من نبات الصيف | و ر ي:B007:ولد الولد يأتي من وراء الابن | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B012:ربة نبات | ش ه د:B006:الخارج عند الولادة والإدراك | ح ب ب:B005:البعير يلزم مكانه من عجز | ع ل م:B004:شق ظاهر في الشفة العليا | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده | ص د ر:B003:الصُّدور عن المورد | خ ب ر:B005:اللِّين في النبات والوبر والزبد
251	P0251	0.7737	fire / light / gambling / top	1,2,3,5,6,8,10,11	ج م ع ح ب ب ح ص ل خ ي ر ر ب ب ص ب ح ص د ر ض ب ح ق د ح ك ن د	ض ب ح:B003:إحراق أعالي العود | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B005:المصباح والسراج | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | ك ن د:B002:كفران النعمة والمودة | ح ب ب:B011:نار الحباحب شرر لا ينتفع به | خ ي ر:B006:استدراج الحيوان من جحره | ح ص ل:B004:موضع يجتمع فيه الطعام في جوف الطائر | ص د ر:B002:المقدّم والأعلى والأول
252	P0252	0.7737	fire / spark / ignition / combustion	1,2,4,5,6,7,8,9,10,11	ج م ع ح ص ل خ ي ر ر ب ب ش ه د ض ب ح ق ب ر ق د ح ن ق ع و ر ي	ض ب ح:B003:إحراق أعالي العود | و ر ي:B002:نار كامنة تخرج من الزند | ق د ح:B001:إيراء النار بالقدح | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B011:نخل دقل اجتمع من النوى لا يعرف اسمه | ر ب ب:B017:رباني الملاحين | ش ه د:B007:الشَّهْد في الشمع | خ ي ر:B006:استدراج الحيوان من جحره | ق ب ر:B004:طرف الأنف في الغضب | ح ص ل:B005:بلح حصل من النخلة قبل اشتداده
253	P0253	0.7736	exception / exclusion / logic / alliance	1,2,3,5,6,7,8,9,10,11	ء ن س ب ع ث ر ج م ع ر ب ب ش د د ش ه د ص د ر ع د و غ ي ر ق د ح	ع د و:B004:المجاوزة والاستثناء والصرف | ق د ح:B010:اقتداح الأمر بالنظر والتدبير | غ ي ر:B005:السوى والخلاف والاستثناء والنفي | ج م ع:B013:ممالأة واجتماع مع غيرك على أمر | ء ن س:B005:إنسان العين وصورة الإنسان في السواد | ر ب ب:B004:ربة وجماعات كثيرة | ش ه د:B005:اللسان الشاهد | ش د د:B004:بلوغ الأشد | ب ع ث ر:B002:تبديد المتاع وقلب بعضه على بعض | ص د ر:B005:المصادرة على مال
254	P0254	0.7735	top / gambling / stick / rest	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ج م ع خ ي ر ر ب ب ص ب ح ص د ر ض ب ح ق ب ر ق د ح ن ق ع	ض ب ح:B003:إحراق أعالي العود | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B007:الصُّبْحة نوما | ن ق ع:B009:نقعه بالشتم القبيح | ج م ع:B008:القيد الذي يجمع اليدين إلى العنق | ر ب ب:B010:ربابة تجمع القداح | خ ي ر:B006:استدراج الحيوان من جحره | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ق ب ر:B004:طرف الأنف في الغضب | ص د ر:B002:المقدّم والأعلى والأول
255	P0255	0.7734	division / cutting / space_form_boundary/boundary / abundance	2,3,4,5,6,8,10,11	ء ن س ث و ر ج م ع ح ب ب خ ب ر ص ب ح ص د ر ك ن د و ر ي و س ط	و ر ي:B004:شحم وار وسمن ظاهر | ص ب ح:B008:الناقة المصباح | ث و ر:B004:الثور: ذكر البقر | و س ط:B006:قطع الشيء نصفين | ج م ع:B006:اتصال الجماع والمجامعة | ء ن س:B001:ظهور الإنسان المخالف للتوحش والجن | ك ن د:B001:القطع والانفصال | ح ب ب:B001:الحبة التي تنبت وتحمل الحب | ص د ر:B006:الطائفة من الشيء | خ ب ر:B004:الغزر في المزادة والناقة
256	P0256	0.7734	surface / top / rest / sleep	2,3,4,6,8,9,10,11	ب ع ث ر ث و ر ح ب ب خ ب ر ر ب ب ص ب ح ص د ر ق د ح ن ق ع و ر ي	و ر ي:B008:الورى: الخلق على ظهر الأرض | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B007:الصُّبْحة نوما | ث و ر:B007:ثور الماء: طحلب يعلو السطح | ن ق ع:B001:استقرار الماء وما ينقع فيه | ر ب ب:B013:ماء رَبَب كثير | ح ب ب:B008:حباب الماء فقاقيعه وطرائقه | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول | خ ب ر:B003:إصلاح الأرض بالمخابرة
257	P0257	0.7733	attack / top / presence / warfare	1,2,3,5,6,7,8,9,10	ء ن س ب ع ث ر ج م ع ش د د ش ه د ص ب ح ص د ر ض ب ح ع د و ق د ح	ع د و:B003:العَدُوّ والعداوة | ض ب ح:B001:صوت الضباح | ق د ح:B007:عود السهم والقدح في الميسر | ص ب ح:B004:يوم الصباح | ج م ع:B004:موضع أو يوم أو نداء يجمع الناس | ء ن س:B005:إنسان العين وصورة الإنسان في السواد | ش ه د:B001:الحضور مع المشاهدة | ش د د:B003:شد الحملة والعدو | ب ع ث ر:B003:هدم الحوض وقلب أسفله أعلاه | ص د ر:B002:المقدّم والأعلى والأول
