rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
92	PF0092	0.4175	posture / guide / forerunner / stance	5	1,2,4,5,6,7	ء ل ه ع ب د غ ض ب ق و م م ل ك	ق و م:B002@6:انتصاب وقيام بالبدن | م ل ك:B008@4:المتقدم القائد في الحيوان	ء ل ه:B001@1,2:التعبد والمعبود | ع ب د:B003@5:العبادة والطاعة الخاضعة | ع ب د:B005@5:التذليل والتسوية | ع ب د:B006@5:التكريم والتعظيم | ع ب د:B007@5:القوة والصلابة | ع ب د:B011@5:العطب والانقطاع | غ ض ب:B007@7:العبوس والضجر والعظم في وصف الحيوان أو الشخص	P3364	P3364[ع ب د:B006→ق و م:B002 ; م ل ك:B008→ق و م:B002] | P2455[م ل ك:B008→ق و م:B002 ; ع ب د:B007→ق و م:B002 ; ع ب د:B007→غ ض ب:B007] | P2569[م ل ك:B008→ق و م:B002 ; ع ب د:B011→ق و م:B002 ; ء ل ه:B001→ع ب د:B011] | P3721[ع ب د:B003→ق و م:B002 ; م ل ك:B008→ق و م:B002]
93	PF0093	0.4175	conflict_security/conflict / opposition / resistance / daytime	3	1,4,5,6,7	س م و ع ب د غ ض ب ق و م ي و م	غ ض ب:B003@7:المراغمة والمخالفة | ي و م:B001@4:وقت النهار المحدود	س م و:B007@1:المساماة والمباراة | ع ب د:B006@5:التكريم والتعظيم | ق و م:B013@6:قيامة وبعث وقيام الساعة | ق و م:B014@6:مقاومة ومنازلة	P5830	P5830[ي و م:B001→غ ض ب:B003 ; ق و م:B014→غ ض ب:B003] | P3006[ي و م:B001→غ ض ب:B003 ; س م و:B007→غ ض ب:B003 ; ي و م:B001→ق و م:B013] | P5970[ي و م:B001→غ ض ب:B003 ; ع ب د:B006→غ ض ب:B003]
94	PF0094	0.4174	stray / owner / wasteland / pastoralism	7	2,5,6,7	ر ب ب ض ل ل ع ب د ق و م ه د ي	ض ل ل:B005@7:الضالّة في المضيعة | ع ب د:B009@5:قلة اللبث وسرعة العدو	ر ب ب:B001@2:ربوبية وملك وسيادة | ر ب ب:B006@2:رُبّ خاثر وإصلاح به | ق و م:B015@6:وزن سواء ومقدار معتدل	P5574	P5574[ق و م:B015→ض ل ل:B005 ; ع ب د:B009→ض ل ل:B005] | P2782[ع ب د:B009→ه د ي:B010 ; ع ب د:B009→ض ل ل:B005] | P4531[ر ب ب:B001→ض ل ل:B005 ; ع ب د:B009→ض ل ل:B005] | P4596[ر ب ب:B014→ض ل ل:B005 ; ع ب د:B009→ض ل ل:B005]
95	PF0095	0.4174	duration / judgment / resurrection / awakening	3	1,2,4,5,6	ر ب ب س م و ع ب د ق و م ي و م	ق و م:B013@6:قيامة وبعث وقيام الساعة | ي و م:B002@4:مدة من الزمان	ر ب ب:B003@2:علم رباني | س م و:B006@1:الخروج للصيد | ع ب د:B006@5:التكريم والتعظيم	P5431	P5431[ي و م:B002→ق و م:B013 ; ع ب د:B006→ق و م:B013] | P5458[ر ب ب:B003→ق و م:B013 ; ي و م:B002→ق و م:B013] | P5888[ي و م:B002→ق و م:B013 ; س م و:B006→ق و م:B013]
96	PF0096	0.417	conflict_security/conflict / opposition / resistance / defiance	6	1,2,3,4,5,6,7	ر ح م س م و ع ب د ع ل م ع و ن غ ض ب ق و م م ل ك	ع ل م:B001@2:انكشاف الشيء للعارف | غ ض ب:B003@7:المراغمة والمخالفة	ر ح م:B001@1,3:الرَّحْمَة والرقة | س م و:B007@1:المساماة والمباراة | ع ب د:B006@5:التكريم والتعظيم | ع و ن:B001@5:الإعانة والمظاهرة | ق و م:B014@6:مقاومة ومنازلة | م ل ك:B005@4:مِلاك الأمر وعِماده	P3726	P3726[ع ل م:B001→غ ض ب:B003 ; ع و ن:B001→غ ض ب:B003] | P3045[ع ل م:B001→غ ض ب:B003 ; س م و:B007→غ ض ب:B003] | P4866[ع ل م:B001→غ ض ب:B003 ; ق و م:B014→غ ض ب:B003] | P5353[ع ل م:B001→غ ض ب:B003 ; م ل ك:B005→غ ض ب:B003]
97	PF0097	0.4169	judgment / honor / reckoning / recompense	6	2,4,5,6,7	ح م د د ي ن ع و ن غ ي ر ق و م ن ع م ي و م	د ي ن:B002@4:الحساب والجزاء | ن ع م:B013@7:نعم الله بك عينا وقرة العين	ح م د:B001@2:الحمد خلاف الذم | ع و ن:B002@5:العَوان بين السنين | غ ي ر:B005@7:السوى والخلاف والاستثناء والنفي | ق و م:B013@6:قيامة وبعث وقيام الساعة | ق و م:B019@6:وجع قائم بالعضو | ق و م:B021@6:عين قائمة ذاهبة البصر | ي و م:B002@4:مدة من الزمان	P5219	P5219[د ي ن:B002→ق و م:B013 ; د ي ن:B002→ن ع م:B013] | P2726[د ي ن:B002→ن ع م:B013 ; ق و م:B021→ن ع م:B013 ; ي و م:B002→د ي ن:B002] | P3280[د ي ن:B002→ن ع م:B013 ; ق و م:B019→ن ع م:B013] | P3503[د ي ن:B002→ن ع م:B013 ; ح م د:B001→ن ع م:B013]
98	PF0098	0.4164	intensification / degree / addition / process	5	2,4,6,7	ح م د ر ب ب ق و م ن ع م ي و م	ن ع م:B010@7:زاد وأنعم في الفعل | ي و م:B003@4:كائنة اليوم وشدته	ح م د:B004@2:حماداك الغاية المحمودة | ر ب ب:B016@2:رُبَى حاجة وعقدة ونعمة | ق و م:B013@6:قيامة وبعث وقيام الساعة | ق و م:B019@6:وجع قائم بالعضو | ق و م:B021@6:عين قائمة ذاهبة البصر | ي و م:B002@4:مدة من الزمان	P3811	P3811[ي و م:B003→ن ع م:B010 ; ق و م:B019→ن ع م:B010] | P2802[ح م د:B004→ن ع م:B010 ; ي و م:B003→ن ع م:B010 ; ي و م:B003→ق و م:B013] | P4340[ي و م:B003→ن ع م:B010 ; ر ب ب:B016→ن ع م:B010] | P5309[ق و م:B021→ن ع م:B010 ; ي و م:B003→ن ع م:B010]
99	PF0099	0.416	otherness / difference / exception / exclusion	8	1,4,5,6,7	س م و ع ب د غ ي ر ق و م ه د ي ي و م	غ ي ر:B005@7:السوى والخلاف والاستثناء والنفي | ي و م:B003@4:كائنة اليوم وشدته		P3130	P3130[ي و م:B003→غ ي ر:B005 ; ق و م:B007→غ ي ر:B005] | P2222[ي و م:B003→غ ي ر:B005 ; ع ب د:B009→غ ي ر:B005 ; ع ب د:B009→ه د ي:B010 ; ي و م:B003→ق و م:B013] | P3325[ي و م:B003→ق و م:B017 ; ي و م:B003→غ ي ر:B005] | P3737[س م و:B007→غ ي ر:B005 ; ي و م:B003→غ ي ر:B005]
100	PF0100	0.4158	heraldry / banner / semiotics / sign	5	1,2,6,7	ر ب ب س م و ص ر ط ض ل ل ع ل م غ ض ب	ص ر ط:B002@6,7:الغيبة في المرور والبلع | ع ل م:B002@2:أثر يميز الشيء ويهدي إليه	ر ب ب:B003@2:علم رباني | ر ب ب:B006@2:رُبّ خاثر وإصلاح به | س م و:B001@1:العلو والارتفاع | ص ر ط:B001@6,7:الطريق المستقيم | ض ل ل:B002@7:الغيبوبة والخفاء | غ ض ب:B001@7:اشتداد السخط وثورانه للانتقام	P3938	P3938[ر ب ب:B003→ع ل م:B002 ; ع ل م:B002→ص ر ط:B002] | P2718[س م و:B001→ع ل م:B002 ; ع ل م:B002→ص ر ط:B002 ; ص ر ط:B002→ض ل ل:B002] | P4592[ع ل م:B002→ص ر ط:B002 ; ص ر ط:B002→غ ض ب:B001] | P4632[ر ب ب:B006→ع ل م:B002 ; ع ل م:B002→ص ر ط:B002]
101	PF0101	0.4157	settlement / city / comfort / polity	8	4,6,7	د ي ن ق و م ن ع م	د ي ن:B006@4:مدينة الطاعة | ن ع م:B011@7:موافقة المكان وطيب المقام		P5382	P5382[د ي ن:B006→ن ع م:B011 ; ق و م:B009→ن ع م:B011] | P3725[د ي ن:B006→ن ع م:B011 ; ق و م:B007→ن ع م:B011] | P4085[د ي ن:B006→ن ع م:B011 ; ق و م:B018→ن ع م:B011] | P4474[د ي ن:B006→ن ع م:B011 ; ق و م:B011→ن ع م:B011]
102	PF0102	0.4148	commitment / endeavor / initiative / stoutness	5	2,5,6	ر ب ب ع ب د ق و م	ع ب د:B007@5:القوة والصلابة | ق و م:B003@6:عزم ونهوض إلى الأمر	ر ب ب:B006@2:رُبّ خاثر وإصلاح به | ر ب ب:B009@2:شاة رُبّى وحداثة | ر ب ب:B010@2:ربابة تجمع القداح | ر ب ب:B013@2:ماء رَبَب كثير | ر ب ب:B016@2:رُبَى حاجة وعقدة ونعمة	P3122	P3122[ر ب ب:B016→ع ب د:B007 ; ع ب د:B007→ق و م:B003] | P5201[ر ب ب:B006→ع ب د:B007 ; ع ب د:B007→ق و م:B003] | P5589[ر ب ب:B009→ع ب د:B007 ; ع ب د:B007→ق و م:B003] | P5939[ر ب ب:B010→ع ب د:B007 ; ع ب د:B007→ق و م:B003]
103	PF0103	0.4147	governance / appellation / semiotics / law_governance/authority_governance	4	1,4,6,7	د ي ن س م و ق و م م ل ك ن ع م	س م و:B005@1:الاسم تنويه ودلالة | ق و م:B004@6:رعاية وحفظ وولاية	د ي ن:B002@4:الحساب والجزاء | د ي ن:B005@4:العادة والشأن | م ل ك:B007@4:الماء مَلَك الأمر | ن ع م:B002@7:اللين والنعومة ورفاه العيش	P5136	P5136[س م و:B005→ق و م:B004 ; د ي ن:B002→ق و م:B004] | P5239[س م و:B005→ق و م:B004 ; م ل ك:B007→ق و م:B004] | P5428[س م و:B005→ق و م:B004 ; د ي ن:B005→ق و م:B004] | P5504[س م و:B005→ق و م:B004 ; ق و م:B004→ن ع م:B002]
104	PF0104	0.4144	wrestling / confrontation / conflict_security/conflict / resistance	7	4,5,6	د ي ن ع ب د ق و م م ل ك ي و م	ع ب د:B009@5:قلة اللبث وسرعة العدو | ق و م:B014@6:مقاومة ومنازلة	د ي ن:B006@4:مدينة الطاعة	P3084	P3084[د ي ن:B006→ق و م:B014 ; ع ب د:B009→ق و م:B014] | P3229[د ي ن:B004→ع ب د:B009 ; ع ب د:B009→ق و م:B014] | P3481[د ي ن:B001→ق و م:B014 ; ع ب د:B009→ق و م:B014] | P3773[م ل ك:B005→ع ب د:B009 ; ع ب د:B009→ق و م:B014]
105	PF0105	0.4141	comfort / governance / delicacy / refinement	6	2,4,6,7	د ي ن ر ب ب ق و م م ل ك ن ع م	ق و م:B004@6:رعاية وحفظ وولاية | ن ع م:B002@7:اللين والنعومة ورفاه العيش	د ي ن:B002@4:الحساب والجزاء | د ي ن:B005@4:العادة والشأن | ر ب ب:B006@2:رُبّ خاثر وإصلاح به | م ل ك:B001@4:قوة الشيء وتماسكه | م ل ك:B002@4:المِلْك والتصرف | م ل ك:B007@4:الماء مَلَك الأمر	P4117	P4117[م ل ك:B002→ق و م:B004 ; ق و م:B004→ن ع م:B002] | P3518[ر ب ب:B006→ن ع م:B002 ; ق و م:B004→ن ع م:B002] | P4414[د ي ن:B002→ق و م:B004 ; ق و م:B004→ن ع م:B002] | P4482[م ل ك:B007→ق و م:B004 ; ق و م:B004→ن ع م:B002]
106	PF0106	0.414	identity / village / routine / custom	7	1,3,4,5,6	د ي ن ر ح م ع و ن ق و م	د ي ن:B005@4:العادة والشأن | ع و ن:B008@5:النسبة إلى عانة		P4916	P4916[د ي ن:B005→ع و ن:B008 ; ع و ن:B008→ق و م:B003] | P3317[ر ح م:B002→ع و ن:B008 ; د ي ن:B005→ع و ن:B008] | P4308[د ي ن:B005→ق و م:B008 ; د ي ن:B005→ع و ن:B008] | P5555[د ي ن:B005→ع و ن:B008 ; د ي ن:B005→ق و م:B009]
107	PF0107	0.4138	ritual_belief/religion_worship / adoration / deity / theology	16	1,2,4,5,6	ء ل ه د ي ن ر ب ب س م و ع ب د ع ل م ق و م	ء ل ه:B001@1,2:التعبد والمعبود | س م و:B005@1:الاسم تنويه ودلالة	س م و:B004@1:السماء وما علا فأظل | ع ب د:B004@5:التعبيد والاستعباد | ع ب د:B008@5:الأنفة والغضب	P3253	P3253[س م و:B005→ء ل ه:B001 ; ء ل ه:B001→ع ب د:B008] | P2396[س م و:B004→ر ب ب:B008 ; س م و:B004→ء ل ه:B001 ; ء ل ه:B001→ع ب د:B004 ; د ي ن:B004→ع ب د:B004] | P2625[س م و:B001→ع ل م:B002 ; س م و:B001→ع ب د:B008 ; ء ل ه:B001→ع ب د:B008] | P2875[س م و:B004→ء ل ه:B001 ; ء ل ه:B001→ع ب د:B004 ; س م و:B004→ر ب ب:B012]
108	PF0108	0.4138	breakdown / interruption / obstruction / exhaustion	10	1,2,5,6	ء ل ه ع ب د ع ل م ق و م ه د ي	ء ل ه:B001@1,2:التعبد والمعبود | ع ب د:B011@5:العطب والانقطاع | ع ل م:B007@2:ذكر الضباع يسمى العيلام	ه د ي:B006@6:العروس المهدية إلى زوجها | ه د ي:B011@6:إهداء الشعر ومهاداته	P4576	P4576[ع ب د:B011→ه د ي:B006 ; ع ل م:B007→ع ب د:B011] | P4241[ع ب د:B011→ه د ي:B004 ; ء ل ه:B001→ع ب د:B011] | P3458[ع ل م:B007→ع ب د:B011 ; ع ل م:B007→ه د ي:B003] | P3878[ع ل م:B007→ع ب د:B011 ; ع ب د:B011→ه د ي:B005]
109	PF0109	0.4135	treaty / pact / chase / covenant	6	1,2,3,5,6	ر ب ب ر ح م س م و ع ب د ع و ن ه د ي	ر ب ب:B011@2:ربابة عهد وميثاق | س م و:B006@1:الخروج للصيد	ر ح م:B002@1,3:الرَّحِم والقرابة | ع ب د:B001@5:الرق والملك | ع ب د:B007@5:القوة والصلابة | ع و ن:B003@5:الحرب العَوان | ه د ي:B004@6:بعثة لطف وهدية إلى ذي مودة | ه د ي:B007@6:هدي الحرمة والأسير	P3336	P3336[س م و:B006→ر ب ب:B011 ; ر ب ب:B011→ع ب د:B001] | P4053[س م و:B006→ر ب ب:B011 ; ر ب ب:B011→ع ب د:B007] | P4193[س م و:B006→ر ب ب:B011 ; ر ب ب:B011→ه د ي:B004] | P4394[س م و:B006→ر ب ب:B011 ; ر ح م:B002→ر ب ب:B011]
110	PF0110	0.4132	pain / medicine / body_health_life/reproduction_birth / soreness	6	1,2,3,5,6,7	ر ب ب ر ح م ع ب د غ ض ب ق و م ن ع م	ر ح م:B004@1,3:وجع الرَّحِم بعد الولادة | ق و م:B019@6:وجع قائم بالعضو	ر ب ب:B006@2:رُبّ خاثر وإصلاح به | ر ب ب:B009@2:شاة رُبّى وحداثة | ر ب ب:B015@2:حرف رب وربما | ع ب د:B010@5:التفرق في الوجوه | غ ض ب:B006@7:تورم العين وما حولها | ن ع م:B010@7:زاد وأنعم في الفعل | ن ع م:B013@7:نعم الله بك عينا وقرة العين	P4935	P4935[ر ح م:B004→ر ب ب:B006 ; ر ح م:B004→ق و م:B019] | P2528[ر ح م:B004→ر ب ب:B009 ; ر ح م:B004→ق و م:B019 ; ق و م:B019→ن ع م:B013] | P3569[ر ح م:B004→ق و م:B019 ; ع ب د:B010→ق و م:B019] | P4096[ر ح م:B004→ق و م:B019 ; ق و م:B019→ن ع م:B010]
111	PF0111	0.4131	comfort / residence / settlement / suitability	11	2,4,6,7	ر ب ب ق و م ن ع م ي و م	ر ب ب:B007@2:لزوم وإقامة ودوام | ن ع م:B011@7:موافقة المكان وطيب المقام		P3082	P3082[ر ب ب:B007→ق و م:B016 ; ر ب ب:B007→ن ع م:B011] | P2690[ي و م:B001→ق و م:B017 ; ق و م:B017→ن ع م:B011 ; ر ب ب:B007→ن ع م:B011] | P3125[ر ب ب:B007→ن ع م:B011 ; ق و م:B018→ن ع م:B011] | P3302[ر ب ب:B007→ن ع م:B011 ; ر ب ب:B007→ق و م:B015]
112	PF0112	0.413	eminence / nurture / loftiness / rise	8	1,2,6,7	ر ب ب س م و ع ل م غ ي ر ق و م ن ع م ه د ي	ر ب ب:B002@2:إصلاح وتربية وإتمام | س م و:B001@1:العلو والارتفاع		P3052	P3052[س م و:B001→ر ب ب:B002 ; ر ب ب:B002→ن ع م:B001] | P2633[س م و:B001→ر ب ب:B002 ; ر ب ب:B002→ن ع م:B002 ; س م و:B001→ع ل م:B007] | P3679[س م و:B001→ر ب ب:B002 ; ر ب ب:B002→غ ي ر:B001] | P3989[س م و:B001→ر ب ب:B002 ; ر ب ب:B002→ن ع م:B011]
113	PF0113	0.4123	divergence / otherness / difference / exception	10	1,2,5,6,7	ء ل ه س م و ص ر ط ع ب د غ ي ر ق و م ه د ي	ع ب د:B010@5:التفرق في الوجوه | غ ي ر:B005@7:السوى والخلاف والاستثناء والنفي		P3184	P3184[ع ب د:B010→غ ي ر:B005 ; ق و م:B007→غ ي ر:B005] | P3063[ع ب د:B010→ق و م:B021 ; ع ب د:B010→غ ي ر:B005] | P3369[ع ب د:B010→ق و م:B019 ; ع ب د:B010→غ ي ر:B005] | P3891[س م و:B007→غ ي ر:B005 ; ع ب د:B010→غ ي ر:B005]
114	PF0114	0.412	commitment / duration / endeavor / initiative	5	4,5,6,7	د ي ن ع ب د ع و ن ق و م ن ع م ي و م	ق و م:B003@6:عزم ونهوض إلى الأمر | ي و م:B002@4:مدة من الزمان	د ي ن:B005@4:العادة والشأن | ع ب د:B007@5:القوة والصلابة | ع و ن:B001@5:الإعانة والمظاهرة | ع و ن:B008@5:النسبة إلى عانة | ن ع م:B003@7:مدح الشيء بنعم | ن ع م:B010@7:زاد وأنعم في الفعل	P5884	P5884[ي و م:B002→ق و م:B003 ; ع و ن:B008→ق و م:B003] | P2877[ي و م:B002→ق و م:B003 ; ي و م:B002→د ي ن:B005 ; ع و ن:B001→ق و م:B003] | P4267[ي و م:B002→ق و م:B003 ; ق و م:B003→ن ع م:B010] | P5366[ي و م:B002→ق و م:B003 ; ق و م:B003→ن ع م:B003]
115	PF0115	0.4117	support / guide / forerunner / handle	5	1,2,4,5,6	ر ب ب س م و ع ب د ق و م م ل ك	ق و م:B012@6:آلة قائمة وجزء قائم | م ل ك:B008@4:المتقدم القائد في الحيوان	ر ب ب:B007@2:لزوم وإقامة ودوام | ر ب ب:B008@2:رباب السحاب | ر ب ب:B010@2:ربابة تجمع القداح | س م و:B006@1:الخروج للصيد | ع ب د:B001@5:الرق والملك	P4593	P4593[ر ب ب:B008→ق و م:B012 ; م ل ك:B008→ق و م:B012] | P2984[س م و:B006→ق و م:B012 ; م ل ك:B008→ق و م:B012] | P4925[ر ب ب:B010→ق و م:B012 ; م ل ك:B008→ق و م:B012] | P5523[م ل ك:B008→ق و م:B012 ; ر ب ب:B007→ق و م:B012]
116	PF0116	0.4116	hide / chase / shield / fold	5	1,2,5,6,7	ر ب ب س م و ع ب د غ ض ب ق و م ه د ي	س م و:B006@1:الخروج للصيد | غ ض ب:B008@7:جلد صلب أو مطوي كدرقة	ر ب ب:B004@2:ربة وجماعات كثيرة | ر ب ب:B010@2:ربابة تجمع القداح | ع ب د:B008@5:الأنفة والغضب | ق و م:B012@6:آلة قائمة وجزء قائم | ه د ي:B003@6:المتقدم الهادي وأوائل الشيء	P3485	P3485[ر ب ب:B010→غ ض ب:B008 ; س م و:B006→غ ض ب:B008] | P3603[س م و:B006→غ ض ب:B008 ; س م و:B006→ق و م:B012] | P5966[س م و:B006→غ ض ب:B008 ; س م و:B006→ر ب ب:B004] | P5972[س م و:B006→غ ض ب:B008 ; س م و:B006→ه د ي:B003]
117	PF0117	0.4109	boundary / middle / center / virtue	12	2,4,5,6,7	ح م د ص ر ط ض ل ل ع ب د ع و ن ق و م م ل ك ه د ي	ح م د:B003@2:المحمود كثير الخصال | م ل ك:B006@4:مَلَك الطريق والوادي	ح م د:B005@2:يتحمد بالمنة | ص ر ط:B001@6,7:الطريق المستقيم | ض ل ل:B001@7:الضلال عن الهدى والقصد | ع ب د:B001@5:الرق والملك | ع و ن:B003@5:الحرب العَوان | ه د ي:B001@6:دلالة بلطف إلى الطريق والحق	P3275	P3275[ح م د:B003→م ل ك:B006 ; م ل ك:B006→ه د ي:B001] | P1373[ح م د:B003→م ل ك:B006 ; م ل ك:B006→ه د ي:B001 ; ه د ي:B001→ض ل ل:B001 ; ح م د:B003→ع و ن:B003 ; ع و ن:B003→ق و م:B014] | P4330[ح م د:B005→م ل ك:B006 ; م ل ك:B006→ع ب د:B001] | P5008[ح م د:B005→م ل ك:B006 ; ح م د:B005→ع ب د:B011]
118	PF0118	0.4108	gratitude / divergence / dispersion / scattering	9	1,2,5,6,7	ء ل ه ح م د ص ر ط ع ب د غ ض ب غ ي ر ق و م ن ع م ه د ي	ح م د:B001@2:الحمد خلاف الذم | ع ب د:B010@5:التفرق في الوجوه		P3430	P3430[ح م د:B001→ع ب د:B010 ; ع ب د:B010→ن ع م:B008] | P3017[ح م د:B001→ع ب د:B010 ; ع ب د:B010→ق و م:B021] | P3245[ح م د:B001→ع ب د:B010 ; ع ب د:B010→ق و م:B019] | P3487[ح م د:B001→ع ب د:B010 ; ع ب د:B010→ص ر ط:B001]
119	PF0119	0.4105	conflict_security/conflict / commitment / opposition / competition	349	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	ع و ن:B001@5:الإعانة والمظاهرة	س م و:B007@1:المساماة والمباراة | غ ض ب:B003@7:المراغمة والمخالفة | ق و م:B003@6:عزم ونهوض إلى الأمر | م ل ك:B005@4:مِلاك الأمر وعِماده	P0207	P0207[م ل ك:B005→ق و م:B003 ; ع و ن:B001→ق و م:B003 ; ع و ن:B001→غ ض ب:B003 ; س م و:B007→غ ض ب:B003] | P0355[ر ب ب:B015→ن ع م:B003 ; ق و م:B003→ن ع م:B003 ; م ل ك:B005→ق و م:B003 ; ر ح م:B001→ر ب ب:B015 ; ر ح م:B001→ع ل م:B002 ; س م و:B001→ع ل م:B002 ; ع ب د:B007→ق و م:B003 ; ع ب د:B007→غ ض ب:B007 ; غ ي ر:B004→غ ض ب:B007] | P0139[ع و ن:B001→ن ع م:B013 ; ع و ن:B001→غ ض ب:B003 ; س م و:B007→غ ض ب:B003 ; ق و م:B021→ن ع م:B013 ; د ي ن:B003→ع و ن:B001 ; م ل ك:B004→د ي ن:B003 ; ر ب ب:B005→م ل ك:B004 ; ر ح م:B002→ر ب ب:B005 ; ع ب د:B010→ق و م:B021] | P0668[ر ب ب:B013→ع ل م:B005 ; ع ل م:B005→م ل ك:B007 ; م ل ك:B007→ق و م:B009 ; ع و ن:B001→ق و م:B009 ; ع و ن:B001→غ ض ب:B003 ; س م و:B007→غ ض ب:B003 ; غ ض ب:B003→ض ل ل:B004 ; غ ي ر:B003→ض ل ل:B004 ; ص ر ط:B002→ض ل ل:B004]
120	PF0120	0.4105	straightness / paving / smoothing / taming	52	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ع ب د ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	ص ر ط:B001@6,7:الطريق المستقيم | ع ب د:B005@5:التذليل والتسوية | ق و م:B008@6:استقامة واعتدال واستواء	د ي ن:B004@4:الإذلال والملك | د ي ن:B005@4:العادة والشأن | ر ب ب:B014@2:رَبْرَب قطيع	P3107	P3107[د ي ن:B002→ق و م:B008 ; ص ر ط:B001→ق و م:B008] | P0809[س م و:B006→ر ب ب:B014 ; ر ب ب:B014→ع و ن:B006 ; ر ب ب:B014→ع ب د:B005 ; ع ب د:B005→ص ر ط:B001 ; ص ر ط:B001→ق و م:B008 ; د ي ن:B003→ق و م:B008 ; م ل ك:B004→د ي ن:B003] | P0872[س م و:B005→ء ل ه:B002 ; ء ل ه:B002→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B003 ; م ل ك:B003→د ي ن:B004 ; د ي ن:B004→ع ب د:B005 ; ع ب د:B005→ص ر ط:B001 ; ص ر ط:B001→ق و م:B008] | P0906[ر ب ب:B010→غ ض ب:B008 ; ر ح م:B002→ر ب ب:B010 ; ع ب د:B005→غ ض ب:B008 ; ع ب د:B005→ص ر ط:B001 ; ص ر ط:B001→ق و م:B008 ; د ي ن:B005→ق و م:B008 ; ي و م:B002→د ي ن:B005]
121	PF0121	0.4104	divinity / pity / compassion / kindness	7	1,2,3,5,6,7	ر ب ب ر ح م ع ب د غ ي ر ق و م	ر ح م:B001@1,3:الرَّحْمَة والرقة | غ ي ر:B001@7:الصلاح والمنفعة بالميرة والسقي والإصلاح	ر ب ب:B015@2:حرف رب وربما	P4351	P4351[ر ح م:B001→ر ب ب:B015 ; ر ح م:B001→غ ي ر:B001] | P4036[ر ح م:B001→غ ي ر:B001 ; ر ب ب:B002→غ ي ر:B001] | P4191[ر ح م:B001→غ ي ر:B001 ; ق و م:B004→غ ي ر:B001] | P4786[ر ح م:B001→غ ي ر:B001 ; ر ح م:B001→ر ب ب:B016]
122	PF0122	0.4101	tribe / men / thousand / faction	7	2,4,5,6,7	د ي ن ر ب ب ض ل ل ع و ن غ ي ر ق و م ن ع م	ر ب ب:B004@2:ربة وجماعات كثيرة | ق و م:B001@6:جماعة الناس والرجال		P3402	P3402[ر ب ب:B004→ن ع م:B011 ; ر ب ب:B004→ق و م:B001] | P2616[ر ب ب:B004→ق و م:B001 ; ر ب ب:B004→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005] | P3131[ر ب ب:B004→ق و م:B001 ; ر ب ب:B004→غ ي ر:B001] | P3167[ع و ن:B005→ق و م:B001 ; ر ب ب:B004→ق و م:B001]
123	PF0123	0.4095	burial / disappearance / hiddenness / ewe	8	1,2,3,4,5,6,7	ر ب ب ر ح م ص ر ط ض ل ل ع ب د ع و ن ق و م م ل ك ه د ي	ر ب ب:B009@2:شاة رُبّى وحداثة | ض ل ل:B002@7:الغيبوبة والخفاء | م ل ك:B001@4:قوة الشيء وتماسكه	ص ر ط:B002@6,7:الغيبة في المرور والبلع	P5713	P5713[ر ب ب:B009→ض ل ل:B002 ; م ل ك:B001→ض ل ل:B002] | P2164[ص ر ط:B002→ض ل ل:B002 ; ر ب ب:B009→ض ل ل:B002 ; ر ح م:B004→ر ب ب:B009 ; ر ح م:B004→ق و م:B020] | P2941[م ل ك:B001→ض ل ل:B002 ; م ل ك:B001→ع ب د:B007 ; ص ر ط:B002→ض ل ل:B002] | P3505[ر ب ب:B009→ه د ي:B003 ; ر ب ب:B009→ض ل ل:B002]
124	PF0124	0.4093	commitment / endeavor / initiative / undertaking	9	1,4,5,6,7	س م و ض ل ل ع ب د ع و ن ق و م ن ع م ي و م	ق و م:B003@6:عزم ونهوض إلى الأمر | ي و م:B003@4:كائنة اليوم وشدته		P4158	P4158[ي و م:B003→ق و م:B003 ; ق و م:B003→ن ع م:B011] | P3001[ي و م:B003→ق و م:B003 ; ع و ن:B001→ق و م:B003] | P3162[ي و م:B003→ق و م:B003 ; ق و م:B003→ن ع م:B010] | P3747[ي و م:B003→ق و م:B003 ; ع ب د:B007→ق و م:B003]
125	PF0125	0.4089	comfort / settlement / pillar / foundation	7	2,4,6,7	ح م د د ي ن ق و م م ل ك ن ع م	ق و م:B009@6:قوام وعماد ومعاش | ن ع م:B011@7:موافقة المكان وطيب المقام		P3798	P3798[م ل ك:B004→ق و م:B009 ; ق و م:B009→ن ع م:B011] | P2784[ح م د:B001→م ل ك:B005 ; م ل ك:B005→ق و م:B009 ; ق و م:B009→ن ع م:B011] | P3691[د ي ن:B002→ق و م:B009 ; ق و م:B009→ن ع م:B011] | P3722[م ل ك:B007→ق و م:B009 ; ق و م:B009→ن ع م:B011]
